frame,input.Pitch,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
39,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096737,-0.331396,0.717001,0.605582,4.213210,-3.535110,-0.033310
40,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096737,-0.353541,0.711866,0.599081,4.235910,-3.505410,-0.137810
41,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096699,-0.375520,0.706024,0.592591,4.259710,-3.471110,-0.236410
42,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096635,-0.397309,0.699494,0.586101,4.284510,-3.432810,-0.329110
43,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.095955,-0.418387,0.692384,0.579956,4.232010,-3.474410,-0.517510
44,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.094693,-0.439249,0.684552,0.574006,4.181210,-3.503110,-0.703710
45,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.092874,-0.459857,0.676003,0.568266,4.132310,-3.519410,-0.887210
46,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.090533,-0.480179,0.666749,0.562741,4.085510,-3.524010,-1.067510
47,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.087695,-0.500183,0.656802,0.557438,4.040910,-3.517510,-1.244210
48,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.084394,-0.519836,0.646177,0.552362,3.998610,-3.500410,-1.416810
49,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.080661,-0.539107,0.634888,0.547517,3.958810,-3.473410,-1.585010
50,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.076523,-0.557972,0.622944,0.542910,3.921610,-3.437010,-1.748410
51,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.072007,-0.576401,0.610370,0.538540,3.887010,-3.391810,-1.906810
52,-1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.067147,-0.594371,0.597174,0.534413,3.855110,-3.338310,-2.059810
53,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.063392,0.610301,-0.584990,-0.530378,3.605310,-2.961010,-1.777310
54,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.060651,0.624533,-0.573698,-0.526451,3.362910,-2.599810,-1.504710
55,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.058887,0.637176,-0.563324,-0.522690,3.127810,-2.253810,-1.241710
56,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.058062,0.648337,-0.553883,-0.519135,2.899810,-1.922010,-0.988110
57,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.058143,0.658112,-0.545376,-0.515823,2.678710,-1.603710,-0.743710
58,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.059092,0.666580,-0.537801,-0.512785,2.464410,-1.298110,-0.508310
59,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.060878,0.673816,-0.531149,-0.510045,2.256710,-1.004410,-0.281610
60,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.063467,0.679888,-0.525404,-0.507617,2.055410,-0.721910,-0.063310
61,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.066828,0.684850,-0.520549,-0.505513,1.860310,-0.450110,0.146710
62,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.070934,0.688761,-0.516551,-0.503738,1.671210,-0.188310,0.348810
63,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.075751,0.691653,-0.513390,-0.502303,1.488010,0.064010,0.543310
64,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.081254,0.693570,-0.511032,-0.501203,1.310410,0.307410,0.730410
65,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.087415,0.694537,-0.509451,-0.500437,1.138210,0.542410,0.910310
66,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.094207,0.694580,-0.508610,-0.500000,0.971210,0.769410,1.083210
67,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.101603,0.693725,-0.508470,-0.499881,0.809110,0.988910,1.249410
68,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.109577,0.691985,-0.508993,-0.500075,0.651810,1.201310,1.409110
69,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.118101,0.689369,-0.510147,-0.500572,0.498910,1.407010,1.562510
70,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.127153,0.685890,-0.511890,-0.501354,0.350210,1.606310,1.709910
71,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.136702,0.681547,-0.514188,-0.502411,0.205510,1.799510,1.851410
72,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.146726,0.676345,-0.516999,-0.503728,0.064510,1.986910,1.987210
73,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.157202,0.670290,-0.520279,-0.505281,-0.072910,2.168910,2.117510
74,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.168100,0.663370,-0.523996,-0.507062,-0.207110,2.345610,2.242510
75,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.179391,0.655586,-0.528107,-0.509047,-0.338310,2.517310,2.362310
76,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.191055,0.646937,-0.532568,-0.511216,-0.466810,2.684210,2.477210
77,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.203058,0.637413,-0.537343,-0.513551,-0.592910,2.846510,2.587310
78,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.215375,0.627009,-0.542387,-0.516033,-0.716810,3.004310,2.692910
79,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.227971,0.615717,-0.547663,-0.518639,-0.838810,3.157810,2.794110
