frame,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
41,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.231661,-0.231656,0.815651,0.476845,4.048210,0.000000,2.960010
42,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.242786,-0.242780,0.817491,0.462409,4.152010,0.000000,3.035910
43,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.254072,-0.254072,0.818983,0.447395,4.255810,0.000000,3.111810
44,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.265509,-0.265509,0.820103,0.431788,4.359610,0.000000,3.187710
45,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.277081,-0.277080,0.820817,0.415587,4.439710,0.000000,3.246310
46,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.288706,-0.288706,0.821098,0.398869,4.439710,0.000000,3.246310
47,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.300176,-0.300176,0.820926,0.381929,4.439710,0.000000,3.246310
48,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.311478,-0.311478,0.820305,0.364779,4.439710,0.000000,3.246310
49,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.322607,-0.322607,0.819233,0.347429,4.439710,0.000000,3.246310
50,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.333559,-0.333559,0.817712,0.329885,4.439710,0.000000,3.246310
51,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.344327,-0.344327,0.815740,0.312163,4.439710,0.000000,3.246310
52,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.354906,-0.354906,0.813320,0.294268,4.439710,0.000000,3.246310
53,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.365291,-0.365291,0.810452,0.276212,4.439710,0.000000,3.246310
54,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.375477,-0.375477,0.807136,0.258004,4.439710,0.000000,3.246310
55,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.385457,-0.385457,0.803376,0.239651,4.439710,0.000000,3.246310
56,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.395222,-0.395222,0.799177,0.221169,4.439710,0.000000,3.246310
57,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.404770,-0.404770,0.794536,0.202567,4.439710,0.000000,3.246310
58,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.414098,-0.414098,0.789458,0.183853,4.439710,0.000000,3.246310
59,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.423194,-0.423199,0.783947,0.165035,4.439710,0.000000,3.246310
60,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.432057,-0.432063,0.778007,0.146127,4.439710,0.000000,3.246310
61,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.440684,-0.440689,0.771639,0.127137,4.439710,0.000000,3.246310
62,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.449067,-0.449073,0.764847,0.108077,4.439710,0.000000,3.246310
63,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.457208,-0.457213,0.757630,0.088958,4.439710,0.000000,3.246310
64,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.465095,-0.465101,0.749998,0.069790,4.439710,0.000000,3.246310
65,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.472729,-0.472734,0.741951,0.050584,4.439710,0.000000,3.246310
66,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.480098,-0.480104,0.733501,0.031352,4.439710,0.000000,3.246310
67,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.487203,-0.487209,0.724648,0.012103,4.439710,0.000000,3.246310
68,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.494044,-0.494049,0.715391,-0.007151,4.439710,0.000000,3.246310
