frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
60,-1213.890015,0.000000,93.189995,-2346.000977,0.000000,8.751000,0.000003,-0.355117,0.000003,0.934822,0.000000,-3.197510,0.000000
61,-1233.439941,0.000000,93.220001,-2345.400879,0.000000,3.331000,0.000003,-0.367541,0.000003,0.930007,0.000000,-3.197510,0.000000
62,-1252.979980,0.000000,93.199997,-2344.801025,0.000000,-2.081000,0.000003,-0.379900,0.000003,0.925027,0.000000,-3.197510,0.000000
63,-1272.510010,0.000000,93.139999,-2344.200928,0.000000,-7.491000,0.000003,-0.392190,0.000003,0.919884,0.000000,-3.197510,0.000000
64,-1291.989990,0.000000,93.180000,-2337.510986,0.000000,4.491000,0.000003,-0.405046,0.000003,0.914296,0.000000,-3.364310,0.000000
65,-1311.459961,0.000000,93.169998,-2336.910889,0.000000,-0.921000,0.000003,-0.417820,0.000003,0.908530,0.000000,-3.364310,0.000000
66,-1330.929932,0.000000,93.119995,-2336.311035,0.000000,-6.331000,0.000003,-0.430514,0.000003,0.902584,0.000000,-3.364310,0.000000
67,-1350.349976,0.000000,93.150002,-2330.270996,0.000000,3.791000,0.000003,-0.443683,0.000003,0.896184,0.000000,-3.513310,0.000000
68,-1369.760010,0.000000,93.150002,-2329.110840,0.000000,0.000000,0.000003,-0.456814,0.000003,0.889562,0.000000,-3.528910,0.000000
69,-1389.150024,0.000000,93.150002,-2326.620850,0.000000,0.000000,0.000003,-0.470037,0.000003,0.882647,0.000000,-3.580810,0.000000
70,-1408.520020,0.000000,93.150002,-2324.130859,0.000000,0.000000,0.000003,-0.483341,0.000003,0.875432,0.000000,-3.632710,0.000000
71,-1427.869995,0.000000,93.150002,-2321.640869,0.000000,0.000000,0.000003,-0.496725,0.000003,0.867908,0.000000,-3.684610,0.000000
72,-1447.199951,0.000000,93.150002,-2319.150879,0.000000,0.000000,0.000003,-0.510174,0.000003,0.860071,0.000000,-3.736510,0.000000
73,-1466.510010,0.000000,93.150002,-2316.660889,0.000000,0.000000,0.000003,-0.523688,0.000003,0.851910,0.000000,-3.788410,0.000000
74,-1485.789917,0.000000,93.150002,-2314.170898,0.000000,0.000000,0.000003,-0.537251,0.000003,0.843422,0.000000,-3.840310,0.000000
75,-1505.049927,0.000000,93.150002,-2311.680908,0.000000,0.000000,0.000003,-0.550857,0.000003,0.834600,0.000000,-3.892210,0.000000
76,-1524.289917,0.000000,93.150002,-2309.190918,0.000000,0.000000,0.000003,-0.564495,0.000003,0.825437,0.000000,-3.944110,0.000000
77,-1543.510010,0.000000,93.150002,-2306.700928,0.000000,0.000000,0.000003,-0.578160,0.000003,0.815923,0.000000,-3.996010,0.000000
78,-1562.709961,0.000000,93.150002,-2304.210938,0.000000,0.000000,0.000003,-0.591841,0.000003,0.806055,0.000000,-4.047910,0.000000
79,-1581.890015,0.000000,93.150002,-2301.730957,0.000000,0.000000,0.000003,-0.605522,0.000003,0.795828,0.000000,-4.099810,0.000000
80,-1601.049927,0.000000,93.150002,-2299.250977,0.000000,0.000000,0.000003,-0.619198,0.000003,0.785235,0.000000,-4.151710,0.000000
81,-1620.189941,0.000000,93.150002,-2296.770996,0.000000,0.000000,0.000003,-0.632858,0.000003,0.774268,0.000000,-4.203610,0.000000
82,-1639.309937,0.000000,93.150002,-2294.291016,0.000000,0.000000,0.000003,-0.646485,0.000003,0.762926,0.000000,-4.255510,0.000000
83,-1658.409912,0.000000,93.150002,-2291.811035,0.000000,0.000000,0.000003,-0.660075,0.000003,0.751200,0.000000,-4.307410,0.000000
84,-1677.489990,0.000000,93.150002,-2289.330811,0.000000,0.000000,0.000003,-0.673610,0.000003,0.739087,0.000000,-4.359310,0.000000
85,-1696.549927,0.000000,93.150002,-2286.850830,0.000000,0.000000,0.000003,-0.687081,0.000003,0.726581,0.000000,-4.411210,0.000000
86,-1715.589966,0.000000,93.150002,-2284.370850,0.000000,0.000000,0.000003,-0.700471,0.000003,0.713681,0.000000,-4.463110,0.000000
87,-1734.609985,0.000000,93.150002,-2281.890869,0.000000,0.000000,-0.000003,0.713771,-0.000003,-0.700379,0.000000,-4.515010,0.000000
88,-1753.609985,0.000000,93.150002,-2279.410889,0.000000,0.000000,-0.000003,0.726968,-0.000003,-0.686671,0.000000,-4.566910,0.000000
89,-1772.579956,0.000000,93.150002,-2276.930908,0.000000,0.000000,-0.000003,0.740049,-0.000003,-0.672553,0.000000,-4.618810,0.000000
90,-1791.529907,0.000000,93.150002,-2274.450928,0.000000,0.000000,-0.000003,0.752996,-0.000003,-0.658025,0.000000,-4.670710,0.000000
91,-1810.459961,0.000000,93.150002,-2271.970947,0.000000,0.000000,-0.000003,0.765798,-0.000003,-0.643081,0.000000,-4.722610,0.000000
92,-1829.369995,0.000000,93.150002,-2269.490967,0.000000,0.000000,-0.000003,0.778437,-0.000003,-0.627722,0.000000,-4.774510,0.000000
93,-1848.260010,0.000000,93.150002,-2267.010986,0.000000,0.000000,-0.000003,0.790902,-0.000003,-0.611942,0.000000,-4.826410,0.000000
94,-1867.130005,0.000000,93.150002,-2264.531006,0.000000,0.000000,-0.000003,0.803176,-0.000003,-0.595741,0.000000,-4.878310,0.000000
95,-1885.979980,0.000000,93.150002,-2262.061035,0.000000,0.000000,-0.000003,0.815246,-0.000003,-0.579115,0.000000,-4.930210,0.000000
96,-1904.809937,0.000000,93.150002,-2259.590820,0.000000,0.000000,-0.000003,0.827092,-0.000003,-0.562067,0.000000,-4.982110,0.000000
97,-1923.619995,0.000000,93.150002,-2257.120850,0.000000,0.000000,-0.000003,0.838697,-0.000003,-0.544599,0.000000,-5.034010,0.000000
