frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
58,False,False,0.000000,0.000000,0.000000,0.650000,0.000000,170.360001,1.631000,0.000000,201.581009,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,0.000000,0.660000,0.000000,171.989990,1.631000,0.000000,196.160995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,0.000000,0.670000,0.000000,173.580002,1.631000,0.000000,190.740997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,0.000000,0.680000,0.000000,175.119995,1.631000,0.000000,185.320999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,0.000000,0.690000,0.000000,176.619995,1.631000,0.000000,179.901001,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,0.000000,0.700000,0.000000,178.069992,1.631000,0.000000,174.481003,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,0.000000,0.710000,0.000000,179.479996,1.631000,0.000000,169.061005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,0.000000,0.720000,0.000000,180.839996,1.631000,0.000000,163.641006,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,0.000000,0.730000,0.000000,182.159988,1.631000,0.000000,158.221008,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,0.000000,0.740000,0.000000,183.429993,1.631000,0.000000,152.801010,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
