frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
28,True,True,-1.000000,1.000000,0.000000,-97.169998,1002.039978,0.000000,420.920990,0.591000,-0.504305,0.504307,0.495662,0.495651,-5.499910,0.000000,0.000000,0.000000,136.599991,988.729980,0.000000,791.350952,-61.610996,0.199174,0.000003,0.000003,0.979964,2.291710,0.000000,0.000000
29,True,True,-1.000000,1.000000,0.000000,-93.659996,1002.039978,0.000000,420.920990,0.591000,-0.519016,0.519013,0.480239,0.480228,-5.499910,0.000000,0.000000,0.000000,143.190002,988.219971,0.000000,791.150940,-61.591000,0.208523,0.000003,0.000003,0.978017,2.291710,0.000000,0.000000
30,True,True,-1.000000,1.000000,0.000000,-90.150002,1002.039978,0.000000,420.920990,0.591000,0.533252,-0.533253,-0.464378,-0.464367,-5.499910,0.000000,0.000000,0.000000,149.779999,987.709961,0.000000,790.950989,-61.570999,0.217851,0.000003,0.000003,0.975982,2.291710,0.000000,0.000000
31,True,True,-1.000000,1.000000,0.000000,-86.639999,1002.039978,0.000000,420.920990,0.591000,-0.547005,0.547005,0.448096,0.448085,-5.499910,0.000000,0.000000,0.000000,156.369995,987.199951,0.000000,790.750977,-61.550999,0.227162,0.000003,0.000003,0.973857,2.291710,0.000000,0.000000
32,True,True,-1.000000,1.000000,0.000000,-83.129997,1002.039978,0.000000,420.920990,0.591000,-0.560260,0.560266,0.431405,0.431394,-5.499910,0.000000,0.000000,0.000000,162.959991,986.690002,0.000000,790.550964,-61.530998,0.236452,0.000003,0.000003,0.971643,2.291710,0.000000,0.000000
33,True,True,-1.000000,1.000000,0.000000,-79.619995,1002.039978,0.000000,420.920990,0.591000,-0.573008,0.573010,0.414325,0.414314,-5.499910,0.000000,0.000000,0.000000,169.550003,986.179993,0.000000,790.350952,-61.510998,0.245720,0.000003,0.000003,0.969341,2.291710,0.000000,0.000000
34,True,True,-1.000000,1.000000,0.000000,-76.110001,1002.039978,0.000000,420.920990,0.591000,-0.585232,0.585239,0.396867,0.396856,-5.499910,0.000000,0.000000,0.000000,176.129990,985.669983,0.000000,790.150940,-61.490997,0.254967,0.000003,0.000003,0.966950,2.291710,0.000000,0.000000
35,True,True,-1.000000,1.000000,0.000000,-72.599998,1002.039978,0.000000,420.920990,0.591000,-0.596928,0.596934,0.379048,0.379037,-5.500010,0.000000,0.000000,0.000000,182.709991,985.159973,0.000000,789.950989,-61.470997,0.264187,0.000003,0.000003,0.964471,2.291710,0.000000,0.000000
36,True,True,-1.000000,1.000000,0.000000,-69.089996,1002.039978,0.000000,420.920990,0.591000,-0.608079,0.608090,0.360884,0.360873,-5.499910,0.000000,0.000000,0.000000,189.289993,984.649963,0.000000,789.750977,-61.450996,0.273385,0.000003,0.000003,0.961905,2.291710,0.000000,0.000000
37,True,True,-1.000000,1.000000,0.000000,-65.580002,1002.039978,0.000000,420.920990,0.591000,-0.618680,0.618692,0.342390,0.342379,-5.500010,0.000000,0.000000,0.000000,195.869995,984.139954,0.000000,789.550964,-61.431000,0.282556,0.000003,0.000003,0.959251,2.291710,0.000000,0.000000
