frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
44,True,True,-1.000000,1.000000,0.000000,-43.450001,1002.509949,0.000000,414.161011,0.671000,-0.675612,0.675629,0.208663,0.208647,-5.499910,0.000000,0.000000,0.000000,255.599991,975.669983,0.000000,828.270935,-76.250999,0.232768,0.000003,0.000003,0.972532,1.523710,0.000000,0.000000
45,True,True,-1.000000,1.000000,0.000000,-40.000000,1002.519958,0.000000,414.161011,0.671000,-0.681595,0.681610,0.188206,0.188190,-5.499910,0.000000,0.000000,0.000000,262.500000,975.029968,0.000000,828.060974,-76.230995,0.238939,0.000003,0.000003,0.971035,1.523710,0.000000,0.000000
46,True,True,-1.000000,1.000000,0.000000,-36.549999,1002.529968,0.000000,414.161011,0.671000,-0.686957,0.686973,0.167577,0.167560,-5.499910,0.000000,0.000000,0.000000,269.399994,974.389954,0.000000,827.850952,-76.210999,0.245100,0.000003,0.000003,0.969498,1.523710,0.000000,0.000000
47,True,True,-1.000000,1.000000,0.000000,-33.099998,1002.539978,0.000000,414.161011,0.671000,-0.691694,0.691713,0.146796,0.146780,-5.499910,0.000000,0.000000,0.000000,276.299988,973.759949,0.000000,827.640930,-76.190994,0.251250,0.000003,0.000003,0.967922,1.523710,0.000000,0.000000
48,True,True,-1.000000,1.000000,0.000000,-29.650000,1002.549988,0.000000,414.161011,0.671000,-0.695805,0.695822,0.125880,0.125864,-5.499910,0.000000,0.000000,0.000000,283.199982,973.130005,0.000000,827.430969,-76.170998,0.257389,0.000003,0.000003,0.966308,1.523710,0.000000,0.000000
49,True,True,-1.000000,1.000000,0.000000,-26.199999,1002.559998,0.000000,414.161011,0.671000,-0.699284,0.699298,0.104851,0.104835,-5.499910,0.000000,0.000000,0.000000,290.089996,972.500000,0.000000,827.220947,-76.151001,0.263518,0.000003,0.000003,0.964655,1.523710,0.000000,0.000000
50,True,True,-1.000000,1.000000,0.000000,-22.750000,1002.570007,0.000000,414.161011,0.671000,-0.702127,0.702140,0.083725,0.083709,-5.499910,0.000000,0.000000,0.000000,296.979980,971.869995,0.000000,827.010986,-76.130997,0.269636,0.000003,0.000003,0.962962,1.523710,0.000000,0.000000
51,True,True,-1.000000,1.000000,0.000000,-19.299999,1002.579956,0.000000,414.161011,0.671000,-0.704334,0.704342,0.062523,0.062507,-5.500010,0.000000,0.000000,0.000000,303.869995,971.239990,0.000000,826.800964,-76.111000,0.275743,0.000003,0.000003,0.961232,1.523710,0.000000,0.000000
52,True,True,-1.000000,1.000000,0.000000,-15.849999,1002.589966,0.000000,414.161011,0.671000,-0.705898,0.705906,0.041268,0.041251,-5.499910,0.000000,0.000000,0.000000,310.759979,970.609985,0.000000,826.590942,-76.090996,0.281839,0.000003,0.000003,0.959462,1.523710,0.000000,0.000000
53,True,True,-1.000000,1.000000,0.000000,-12.400000,1002.599976,0.000000,414.161011,0.671000,-0.706821,0.706829,0.019974,0.019958,-5.499910,0.000000,0.000000,0.000000,317.649994,969.979980,0.000000,826.380981,-76.070999,0.287924,0.000003,0.000003,0.957653,1.523710,0.000000,0.000000
54,True,True,-1.000000,1.000000,0.000000,-8.950000,1002.609985,0.000000,414.161011,0.671000,-0.707101,0.707110,-0.001341,-0.001357,-5.499910,0.000000,0.000000,0.000000,324.529999,969.349976,0.000000,826.170959,-76.050995,0.293999,0.000003,0.000003,0.955806,1.523710,0.000000,0.000000
55,True,True,-1.000000,1.000000,0.000000,-5.500000,1002.619995,0.000000,414.161011,0.671000,-0.706740,0.706747,-0.022650,-0.022666,-5.500010,0.000000,0.000000,0.000000,331.410004,968.719971,0.000000,825.960938,-76.030998,0.300062,0.000003,0.000003,0.953920,1.523710,0.000000,0.000000
56,True,True,-1.000000,1.000000,0.000000,-2.050000,1002.630005,0.000000,414.161011,0.671000,-0.705737,0.705743,-0.043943,-0.043960,-5.499910,0.000000,0.000000,0.000000,338.289978,968.089966,0.000000,825.750977,-76.010994,0.306110,0.000003,0.000003,0.951996,1.523710,0.000000,0.000000
57,True,True,-1.000000,1.000000,0.000000,1.400000,1002.639954,0.000000,414.161011,0.671000,-0.704091,0.704097,-0.065194,-0.065210,-5.499910,0.000000,0.000000,0.000000,345.169983,967.459961,0.000000,825.540955,-75.990997,0.312147,0.000003,0.000003,0.950034,1.523710,0.000000,0.000000
58,True,True,-1.000000,1.000000,0.000000,4.850000,1002.649963,0.000000,414.161011,0.671000,-0.701804,0.701815,-0.086385,-0.086401,-5.499910,0.000000,0.000000,0.000000,352.049988,966.829956,0.000000,825.330933,-75.971001,0.318173,0.000003,0.000003,0.948033,1.523710,0.000000,0.000000
59,True,True,-1.000000,1.000000,0.000000,8.300000,1002.659973,0.000000,414.161011,0.671000,-0.698880,0.698893,-0.107500,-0.107516,-5.499910,0.000000,0.000000,0.000000,358.929993,966.199951,0.000000,825.120972,-75.950996,0.324183,0.000003,0.000003,0.945994,1.523710,0.000000,0.000000
60,True,True,-1.000000,1.000000,0.000000,11.750000,1002.669983,0.000000,414.161011,0.671000,-0.695319,0.695337,-0.128518,-0.128534,-5.499910,0.000000,0.000000,0.000000,365.799988,965.570007,0.000000,824.910950,-75.931000,0.330182,0.000003,0.000003,0.943917,1.523710,0.000000,0.000000
61,True,True,-1.000000,1.000000,0.000000,15.200000,1002.679993,0.000000,414.161011,0.671000,-0.691127,0.691149,-0.149418,-0.149434,-5.500010,0.000000,0.000000,0.000000,372.669983,964.940002,0.000000,824.700928,-75.910995,0.336170,0.000003,0.000003,0.941801,1.523710,0.000000,0.000000
