frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
28,True,True,1.000000,0.225000,0.000000,2.320000,895.190002,0.000000,-3.301000,5.271000,-0.514749,0.514810,-0.484732,-0.484808,0.373910,0.000000,-0.000210,0.000000,2.180000,1095.739990,0.000000,-4.571000,103.291000,-0.010722,0.000003,0.000003,0.999942,-0.091410,0.000000,0.000000
29,True,True,1.000000,0.225000,0.000000,2.290000,895.260010,0.000000,-3.831000,8.651000,-0.515537,0.515599,-0.483891,-0.483972,0.390710,0.000000,-0.000210,0.000000,2.140000,1096.559937,0.000000,-4.561000,97.840996,-0.011105,0.000003,0.000003,0.999938,-0.091410,0.000000,0.000000
30,True,True,1.000000,0.225000,0.000000,2.250000,895.359985,0.000000,-4.381000,12.031000,-0.516357,0.516417,-0.483017,-0.483098,0.407210,0.000000,-0.000210,0.000000,2.100000,1097.329956,0.000000,-4.551000,92.390999,-0.011488,0.000003,0.000003,0.999934,-0.091410,0.000000,0.000000
31,True,True,1.000000,0.225000,0.000000,2.210000,895.489990,0.000000,-4.961000,15.411000,-0.517209,0.517268,-0.482105,-0.482186,0.423310,0.000000,-0.000210,0.000000,2.060000,1098.049927,0.000000,-4.541000,86.950996,-0.011871,0.000003,0.000003,0.999929,-0.091410,0.000000,0.000000
32,True,True,1.000000,0.225000,0.000000,2.160000,895.649963,0.000000,-5.571000,18.790998,-0.518089,0.518155,-0.481156,-0.481237,0.439110,0.000000,-0.000210,0.000000,2.020000,1098.729980,0.000000,-4.531000,81.510994,-0.012254,0.000003,0.000003,0.999925,-0.091410,0.000000,0.000000
33,True,True,1.000000,0.225000,0.000000,2.110000,895.829956,0.000000,-6.221000,22.160999,-0.519000,0.519064,-0.480174,-0.480255,0.454710,0.000000,-0.000210,0.000000,1.980000,1099.359985,0.000000,-4.521000,76.070999,-0.012637,0.000003,0.000003,0.999920,-0.091410,0.000000,0.000000
34,True,True,1.000000,0.225000,0.000000,2.050000,896.039978,0.000000,-6.901000,25.530998,-0.519939,0.520003,-0.479154,-0.479240,0.470010,0.000000,-0.000210,0.000000,1.940000,1099.949951,0.000000,-4.511000,70.630997,-0.013020,0.000003,0.000003,0.999915,-0.091410,0.000000,0.000000
35,True,True,1.000000,0.225000,0.000000,1.990000,896.279968,0.000000,-7.611000,28.900999,-0.520905,0.520972,-0.478102,-0.478188,0.485010,0.000000,-0.000210,0.000000,1.900000,1100.489990,0.000000,-4.501000,65.190994,-0.013403,0.000003,0.000003,0.999910,-0.091410,0.000000,0.000000
36,True,True,1.000000,0.225000,0.000000,1.920000,896.549988,0.000000,-8.361000,32.271000,-0.521897,0.521966,-0.477018,-0.477104,0.499710,0.000000,-0.000210,0.000000,1.860000,1100.989990,0.000000,-4.491000,59.750999,-0.013786,0.000003,0.000003,0.999905,-0.091410,0.000000,0.000000
37,True,True,1.000000,0.225000,0.000000,1.840000,896.849976,0.000000,-9.151000,35.631001,-0.522917,0.522989,-0.475896,-0.475987,0.514110,0.000000,-0.000210,0.000000,1.820000,1101.439941,0.000000,-4.481000,54.310997,-0.014169,0.000003,0.000003,0.999900,-0.091410,0.000000,0.000000
38,True,True,1.000000,0.225000,0.000000,1.760000,897.169983,0.000000,-9.971000,38.990997,-0.523964,0.524039,-0.474741,-0.474833,0.528310,0.000000,-0.000210,0.000000,1.780000,1101.849976,0.000000,-4.471000,48.880997,-0.014553,0.000003,0.000003,0.999894,-0.091410,0.000000,0.000000
39,True,True,1.000000,0.225000,0.000000,1.670000,897.519958,0.000000,-10.831000,42.350998,-0.525037,0.525111,-0.473554,-0.473646,0.542210,0.000000,-0.000210,0.000000,1.740000,1102.209961,0.000000,-4.461000,43.451000,-0.014936,0.000003,0.000003,0.999888,-0.091410,0.000000,0.000000
40,True,True,1.000000,0.225000,0.000000,1.570000,897.899963,0.000000,-11.731000,45.701000,-0.526132,0.526210,-0.472335,-0.472427,0.555810,0.000000,-0.000210,0.000000,1.700000,1102.530029,0.000000,-4.451000,38.021000,-0.015319,0.000003,0.000003,0.999883,-0.091410,0.000000,0.000000
41,True,True,1.000000,0.225000,0.000000,1.460000,898.309998,0.000000,-12.671000,49.050999,-0.527249,0.527331,-0.471083,-0.471181,0.569210,0.000000,-0.000210,0.000000,1.660000,1102.799927,0.000000,-4.441000,32.591000,-0.015702,0.000003,0.000003,0.999877,-0.091410,0.000000,0.000000
42,True,True,1.000000,0.225000,0.000000,1.350000,898.750000,0.000000,-13.651000,52.390999,-0.528393,0.528471,-0.469799,-0.469902,0.582310,0.000000,-0.000210,0.000000,1.620000,1103.030029,0.000000,-4.431000,27.160999,-0.016085,0.000003,0.000003,0.999871,-0.091410,0.000000,0.000000
43,True,True,1.000000,0.225000,0.000000,1.230000,899.209961,0.000000,-14.681000,55.730999,-0.529558,0.529631,-0.468489,-0.468591,0.595210,0.000000,-0.000210,0.000000,1.580000,1103.209961,0.000000,-4.421000,21.730999,-0.016468,0.000003,0.000003,0.999864,-0.091410,0.000000,0.000000
44,True,True,1.000000,0.225000,0.000000,1.100000,899.699951,0.000000,-15.751000,59.060997,-0.530745,0.530815,-0.467145,-0.467248,0.607910,0.000000,-0.000210,0.000000,1.540000,1103.349976,0.000000,-4.411000,16.300999,-0.016851,0.000003,0.000003,0.999858,-0.091410,0.000000,0.000000
45,True,True,1.000000,0.225000,0.000000,0.960000,900.219971,0.000000,-16.870998,62.390999,-0.531948,0.532027,-0.465770,-0.465872,0.620310,0.000000,-0.000210,0.000000,1.500000,1103.439941,0.000000,-4.401000,10.881001,-0.017234,0.000003,0.000003,0.999851,-0.091410,0.000000,0.000000
46,True,True,1.000000,0.225000,0.000000,0.810000,900.769958,0.000000,-18.030998,65.710999,-0.533172,0.533253,-0.464367,-0.464469,0.632510,0.000000,-0.000210,0.000000,1.460000,1103.489990,0.000000,-4.391000,5.461000,-0.017617,0.000003,0.000003,0.999845,-0.091410,0.000000,0.000000
47,True,True,1.000000,0.225000,0.000000,0.650000,901.349976,0.000000,-19.240999,69.030998,-0.534419,0.534500,-0.462932,-0.463034,0.644510,0.000000,-0.000210,0.000000,1.420000,1103.489990,0.000000,-4.381000,0.041000,-0.018000,0.000003,0.000003,0.999838,-0.091410,0.000000,0.000000
48,True,True,1.000000,0.225000,0.000000,0.480000,901.949951,0.000000,-20.490999,72.340996,-0.535681,0.535763,-0.461470,-0.461572,0.656310,0.000000,-0.000210,0.000000,1.380000,1103.449951,0.000000,-4.371000,-5.371000,-0.018383,0.000003,0.000003,0.999831,-0.091410,0.000000,0.000000
49,True,True,1.000000,0.225000,0.000000,0.300000,902.579956,0.000000,-21.790998,75.640999,-0.536965,0.537047,-0.459976,-0.460078,0.667810,0.000000,-0.000210,0.000000,1.340000,1103.359985,0.000000,-4.361000,-10.781000,-0.018766,0.000003,0.000003,0.999824,-0.091410,0.000000,0.000000
50,True,True,1.000000,0.225000,0.000000,0.110000,903.239990,0.000000,-23.140999,78.931000,-0.538265,0.538346,-0.458454,-0.458557,0.679110,0.000000,-0.000210,0.000000,1.300000,1103.229980,0.000000,-4.351000,-16.191000,-0.019149,0.000003,0.000003,0.999817,-0.091410,0.000000,0.000000
51,True,True,1.000000,0.225000,0.000000,-0.090000,903.929993,0.000000,-24.540998,82.221001,-0.539581,0.539659,-0.456906,-0.457008,0.690210,0.000000,-0.000210,0.000000,1.260000,1103.049927,0.000000,-4.341000,-21.601000,-0.019532,0.000003,0.000003,0.999809,-0.091410,0.000000,0.000000
52,False,False,1.000000,-0.760000,0.000000,-0.300000,904.570007,0.000000,-24.630999,77.350998,-0.540736,0.540815,-0.455536,-0.455644,0.607410,0.000000,-0.000110,0.000000,1.220000,1102.819946,0.000000,-4.331000,-27.011000,-0.019915,0.000003,0.000003,0.999802,-0.091410,0.000000,0.000000
53,False,False,1.000000,-0.760000,0.000000,-0.510000,905.169983,0.000000,-24.720999,72.480995,-0.541734,0.541812,-0.454349,-0.454457,0.525110,0.000000,-0.000110,0.000000,1.180000,1102.549927,0.000000,-4.321000,-32.420998,-0.020298,0.000003,0.000003,0.999794,-0.091410,0.000000,0.000000
54,False,False,1.000000,-0.760000,0.000000,-0.720000,905.729980,0.000000,-24.810999,67.611000,-0.542570,0.542656,-0.453345,-0.453453,0.443310,0.000000,-0.000110,0.000000,1.140000,1102.229980,0.000000,-4.311000,-37.820999,-0.020681,0.000003,0.000003,0.999786,-0.091410,0.000000,0.000000
55,False,False,1.000000,-0.760000,0.000000,-0.930000,906.250000,0.000000,-24.900999,62.740997,-0.543255,0.543339,-0.452525,-0.452633,0.362010,0.000000,-0.000110,0.000000,1.100000,1101.869995,0.000000,-4.301000,-43.220997,-0.021064,0.000003,0.000003,0.999778,-0.091410,0.000000,0.000000
56,False,False,1.000000,-0.760000,0.000000,-1.140000,906.729980,0.000000,-25.000999,57.870998,-0.543784,0.543870,-0.451889,-0.451997,0.281110,0.000000,-0.000110,0.000000,1.060000,1101.459961,0.000000,-4.291000,-48.620998,-0.021447,0.000003,0.000003,0.999770,-0.091410,0.000000,0.000000
57,False,False,1.000000,-0.760000,0.000000,-1.350000,907.169983,0.000000,-25.101000,53.000999,-0.544162,0.544245,-0.451436,-0.451543,0.200710,0.000000,-0.000110,0.000000,1.020000,1101.010010,0.000000,-4.281000,-54.021000,-0.021830,0.000003,0.000003,0.999762,-0.091410,0.000000,0.000000
58,False,False,1.000000,-0.760000,0.000000,-1.560000,907.570007,0.000000,-25.200998,48.130997,-0.544388,0.544474,-0.451160,-0.451268,0.120810,0.000000,-0.000110,0.000000,0.980000,1100.510010,0.000000,-4.271000,-59.420998,-0.022213,0.000003,0.000003,0.999753,-0.091410,0.000000,0.000000
59,False,False,1.000000,-0.760000,0.000000,-1.770000,907.929993,0.000000,-25.300999,43.260998,-0.544464,0.544551,-0.451069,-0.451177,0.041310,0.000000,-0.000110,0.000000,0.940000,1099.969971,0.000000,-4.261000,-64.820999,-0.022596,0.000003,0.000003,0.999745,-0.091410,0.000000,0.000000
60,False,False,1.000000,-0.760000,0.000000,-1.980000,908.250000,0.000000,-25.400999,38.390999,-0.544394,0.544478,-0.451155,-0.451263,-0.037610,0.000000,-0.000110,0.000000,0.900000,1099.380005,0.000000,-4.251000,-70.221001,-0.022979,0.000003,0.000003,0.999736,-0.091410,0.000000,0.000000
61,False,False,1.000000,-0.760000,0.000000,-2.190000,908.529968,0.000000,-25.500999,33.521000,-0.544172,0.544261,-0.451419,-0.451527,-0.116110,0.000000,-0.000110,0.000000,0.860000,1098.750000,0.000000,-4.241000,-75.611000,-0.023362,0.000003,0.000003,0.999727,-0.091410,0.000000,0.000000
62,False,False,1.000000,-0.760000,0.000000,-2.400000,908.769958,0.000000,-25.600998,28.650999,-0.543806,0.543893,-0.451862,-0.451970,-0.194110,0.000000,-0.000110,0.000000,0.820000,1098.069946,0.000000,-4.231000,-81.000999,-0.023745,0.000003,0.000003,0.999718,-0.091410,0.000000,0.000000
63,False,False,1.000000,-0.760000,0.000000,-2.610000,908.969971,0.000000,-25.700998,23.780998,-0.543293,0.543382,-0.452477,-0.452585,-0.271610,0.000000,-0.000110,0.000000,0.780000,1097.349976,0.000000,-4.221000,-86.390999,-0.024128,0.000003,0.000003,0.999709,-0.091410,0.000000,0.000000
64,False,False,1.000000,-0.760000,0.000000,-2.830000,909.130005,0.000000,-25.800999,18.910999,-0.542635,0.542727,-0.453264,-0.453372,-0.348710,0.000000,-0.000110,0.000000,0.740000,1096.589966,0.000000,-4.211000,-91.780998,-0.024511,0.000003,0.000003,0.999699,-0.091410,0.000000,0.000000
