frame,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
158,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.163147,-0.163164,0.688049,0.688004,0.000000,-5.500010,0.000000
159,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.179154,-0.179170,0.684054,0.684012,0.000000,-5.500010,0.000000
160,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.195063,-0.195079,0.679687,0.679647,0.000000,-5.500010,0.000000
161,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.210870,-0.210881,0.674951,0.674911,0.000000,-5.500010,0.000000
162,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.226558,-0.226569,0.669848,0.669807,0.000000,-5.500010,0.000000
163,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.242122,-0.242133,0.664383,0.664337,0.000000,-5.500010,0.000000
164,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.257557,-0.257567,0.658555,0.658505,0.000000,-5.500010,0.000000
165,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.272851,-0.272862,0.652366,0.652317,0.000000,-5.500010,0.000000
166,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.287994,-0.288005,0.645825,0.645773,0.000000,-5.500010,0.000000
167,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.302981,-0.302992,0.638931,0.638879,0.000000,-5.500010,0.000000
168,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.317806,-0.317817,0.631689,0.631633,0.000000,-5.500010,0.000000
169,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.332458,-0.332469,0.624099,0.624048,0.000000,-5.500010,0.000000
170,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.346927,-0.346938,0.616172,0.616123,0.000000,-5.500010,0.000000
171,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.361207,-0.361218,0.607908,0.607864,0.000000,-5.500010,0.000000
172,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.375293,-0.375304,0.599314,0.599270,0.000000,-5.500010,0.000000
173,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.389174,-0.389185,0.590392,0.590352,0.000000,-5.500010,0.000000
174,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.402844,-0.402850,0.581153,0.581111,0.000000,-5.500010,0.000000
175,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.416294,-0.416299,0.571598,0.571551,0.000000,-5.500010,0.000000
176,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.429516,-0.429522,0.561727,0.561684,0.000000,-5.500010,0.000000
177,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.442507,-0.442507,0.551554,0.551509,0.000000,-5.500010,0.000000
178,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.455255,-0.455255,0.541082,0.541033,0.000000,-5.500010,0.000000
179,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.467755,-0.467755,0.530311,0.530265,0.000000,-5.500010,0.000000
180,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.480001,-0.480001,0.519253,0.519205,0.000000,-5.500010,0.000000
181,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.491983,-0.491983,0.507916,0.507865,0.000000,-5.500010,0.000000
