frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
42,1.000000,True,True,-2000.000000,-4373.399902,18.340000,0.000000,718.370972,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
43,1.000000,True,True,-2000.000000,-4367.279785,18.340000,0.000000,733.810974,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
44,1.000000,True,True,-2000.000000,-4361.040039,18.340000,0.000000,749.110962,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
45,1.000000,True,True,-2000.000000,-4354.669922,18.340000,0.000000,764.280945,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
46,1.000000,True,True,-2000.000000,-4348.179688,18.340000,0.000000,779.320984,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
47,1.000000,True,True,-2000.000000,-4341.560059,18.340000,0.000000,794.230957,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
48,1.000000,True,True,-2000.000000,-4334.819824,18.340000,0.000000,809.020935,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
49,1.000000,True,True,-2000.000000,-4327.959961,18.340000,0.000000,823.680969,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000810,0.000000,0.000000
50,1.000000,True,True,-2000.000000,-4320.969727,18.340000,0.000000,838.210938,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000810,0.000000,0.000000
51,1.000000,True,True,-2000.000000,-4313.859863,18.340000,0.000000,852.620972,-0.241000,-0.005975,0.005980,0.707074,0.707089,-0.000910,0.000000,0.000000
52,1.000000,True,True,-2000.000000,-4306.640137,18.340000,0.000000,866.900940,-0.241000,-0.005980,0.005986,0.707074,0.707089,-0.000910,0.000000,0.000000
53,1.000000,True,True,-2000.000000,-4299.299805,18.340000,0.000000,881.060974,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000810,0.000000,0.000000
54,1.000000,True,True,-2000.000000,-4291.839844,18.340000,0.000000,895.100952,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
55,1.000000,True,True,-2000.000000,-4284.259766,18.340000,0.000000,909.020935,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
56,1.000000,True,True,-2000.000000,-4276.569824,18.340000,0.000000,922.820984,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
57,1.000000,True,True,-2000.000000,-4268.770020,18.340000,0.000000,936.500977,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
58,1.000000,True,True,-2000.000000,-4260.850098,18.340000,0.000000,950.070984,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
59,1.000000,True,True,-2000.000000,-4252.819824,18.340000,0.000000,963.520935,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
60,1.000000,True,True,-2000.000000,-4244.679688,18.340000,0.000000,976.850952,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
61,1.000000,True,True,-2000.000000,-4236.429688,18.340000,0.000000,990.070984,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
62,1.000000,True,True,-2000.000000,-4228.069824,18.340000,0.000000,1003.180969,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
63,1.000000,True,True,-2000.000000,-4219.600098,18.340000,0.000000,1016.170959,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000
64,1.000000,True,True,-2000.000000,-4211.020020,18.340000,0.000000,1029.050903,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000810,0.000000,0.000000
65,1.000000,True,True,-2000.000000,-4202.339844,18.340000,0.000000,1041.820923,-0.241000,-0.005986,0.005986,0.707074,0.707088,-0.000810,0.000000,0.000000
