frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
50,False,False,0.000000,0.000000,0.590000,0.000000,160.009995,1.631000,0.000000,255.811005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
51,False,False,0.000000,0.000000,0.600000,0.000000,162.099991,1.631000,0.000000,250.391006,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
52,False,False,0.000000,0.000000,0.610000,0.000000,164.139999,1.631000,0.000000,244.971008,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
53,False,False,0.000000,0.000000,0.620000,0.000000,166.139999,1.631000,0.000000,239.550995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
54,False,False,0.000000,0.000000,0.630000,0.000000,168.089996,1.631000,0.000000,234.130997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
55,False,False,0.000000,0.000000,0.640000,0.000000,170.000000,1.631000,0.000000,228.710999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
56,False,False,0.000000,0.000000,0.650000,0.000000,171.860001,1.631000,0.000000,223.291000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
57,False,False,0.000000,0.000000,0.660000,0.000000,173.679993,1.631000,0.000000,217.871002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,0.670000,0.000000,175.449997,1.631000,0.000000,212.451004,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,0.680000,0.000000,177.179993,1.631000,0.000000,207.031006,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,0.690000,0.000000,178.860001,1.631000,0.000000,201.611008,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,0.700000,0.000000,180.489990,1.631000,0.000000,196.191010,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,0.710000,0.000000,182.080002,1.631000,0.000000,190.770996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,0.720000,0.000000,183.619995,1.631000,0.000000,185.350998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,0.730000,0.000000,185.119995,1.631000,0.000000,179.931000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,0.740000,0.000000,186.569992,1.631000,0.000000,174.511002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,0.750000,0.000000,187.979996,1.631000,0.000000,169.091003,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,0.760000,0.000000,189.339996,1.631000,0.000000,163.671005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,0.770000,0.000000,190.659988,1.631000,0.000000,158.251007,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,0.780000,0.000000,191.929993,1.631000,0.000000,152.831009,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
70,False,False,0.000000,0.000000,0.790000,0.000000,193.159988,1.631000,0.000000,147.411011,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,4.970000,0.000000,194.339996,501.630981,0.000000,141.990997,0.000003,0.012578,0.000003,0.999921,0.000000,1.866610,0.000000
72,False,False,1.000000,1.000000,9.150000,0.000000,195.479996,501.630981,0.000000,136.570999,0.000003,0.027942,0.000003,0.999609,0.000000,3.688510,0.000000
73,False,False,1.000000,1.000000,13.330000,0.000000,196.569992,501.630981,0.000000,131.151001,0.000003,0.050703,0.000003,0.998714,0.000000,5.466710,0.000000
74,False,False,1.000000,1.000000,17.510000,0.000000,197.619995,501.630981,0.000000,125.730995,0.000003,0.080644,0.000003,0.996743,0.000000,5.499910,0.000000
75,False,False,1.000000,1.000000,21.689999,0.000000,198.619995,501.630981,0.000000,120.310997,0.000003,0.110650,0.000003,0.993859,0.000000,5.499910,0.000000
76,False,False,1.000000,1.000000,25.869999,0.000000,199.580002,501.630981,0.000000,114.890999,0.000003,0.140554,0.000003,0.990073,0.000000,5.499910,0.000000
77,False,False,1.000000,1.000000,30.049999,0.000000,200.489990,501.630981,0.000000,109.471001,0.000003,0.170333,0.000003,0.985386,0.000000,5.499910,0.000000
78,False,False,1.000000,1.000000,34.230000,0.000000,201.360001,501.630981,0.000000,104.050995,0.000003,0.199956,0.000003,0.979805,0.000000,5.499910,0.000000
79,False,False,1.000000,1.000000,38.410000,0.000000,202.179993,501.630981,0.000000,98.630997,0.000003,0.229396,0.000003,0.973333,0.000000,5.499910,0.000000
80,False,False,1.000000,1.000000,42.590000,0.000000,202.959991,501.630981,0.000000,93.210999,0.000003,0.258630,0.000003,0.965976,0.000000,5.499910,0.000000
81,False,False,1.000000,1.000000,46.770000,0.000000,203.690002,501.630981,0.000000,87.791000,0.000003,0.287627,0.000003,0.957742,0.000000,5.499910,0.000000
82,False,False,1.000000,1.000000,50.950001,0.000000,204.379990,501.630981,0.000000,82.370995,0.000003,0.316366,0.000003,0.948637,0.000000,5.499910,0.000000
83,False,False,1.000000,1.000000,55.129997,0.000000,205.019989,501.630981,0.000000,76.950996,0.000003,0.344812,0.000003,0.938672,0.000000,5.499910,0.000000
