frame,input.bJump,input.bJumped,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
94,False,False,0.000000,0.000000,1.030000,100.079994,207.669998,1.631000,500.040985,-10.551001,-0.650445,0.004577,0.001551,0.759538,-5.499710,0.019510,0.049210
95,False,False,0.000000,0.000000,1.040000,104.250000,207.569992,1.631000,500.040985,-12.271000,-0.673697,0.004529,0.001691,0.738992,-5.499710,0.019510,0.049210
96,False,False,0.000000,0.000000,1.050000,108.419998,207.459991,1.631000,500.040985,-13.391000,-0.696301,0.004475,0.001832,0.717734,-5.499710,0.019510,0.049210
97,False,False,0.000000,0.000000,1.060000,112.589996,207.339996,1.631000,500.040985,-14.121000,0.718230,-0.004416,-0.001966,-0.695788,-5.499710,0.019510,0.049210
98,False,False,0.000000,0.000000,1.070000,116.759995,207.220001,1.631000,500.040985,-14.591000,0.739469,-0.004351,-0.002101,-0.673173,-5.499710,0.019510,0.049210
99,False,False,0.000000,0.000000,1.080000,120.930000,207.099991,1.631000,500.040985,-14.901000,0.760000,-0.004281,-0.002236,-0.649905,-5.499710,0.019510,0.049210
100,False,False,0.000000,0.000000,1.090000,125.099998,206.970001,1.631000,500.040985,-15.101000,0.779799,-0.004211,-0.002366,-0.626012,-5.499710,0.019510,0.049210
101,False,False,0.000000,0.000000,1.100000,129.270004,206.839996,1.631000,500.040985,-15.231000,0.798844,-0.004135,-0.002495,-0.601519,-5.499710,0.019510,0.049210
102,False,False,0.000000,0.000000,1.110000,133.440002,206.709991,1.631000,500.040985,-15.311000,0.817122,-0.004054,-0.002619,-0.576444,-5.499710,0.019510,0.049210
103,False,False,0.000000,0.000000,1.120000,137.610001,206.580002,1.631000,500.040985,-15.361000,0.834611,-0.003968,-0.002743,-0.550819,-5.499710,0.019510,0.049210
104,False,False,0.000000,0.000000,1.130000,141.779999,206.449997,1.631000,500.040985,-15.401000,0.851299,-0.003882,-0.002862,-0.524659,-5.499710,0.019510,0.049210
105,False,False,0.000000,0.000000,1.140000,145.949997,206.319992,1.631000,500.040985,-15.421000,0.867165,-0.003790,-0.002981,-0.497998,-5.499710,0.019510,0.049210
106,False,False,0.000000,0.000000,1.150000,150.119995,206.190002,1.631000,500.040985,-15.441000,0.882196,-0.003693,-0.003094,-0.470857,-5.499710,0.019510,0.049210
107,False,False,0.000000,0.000000,1.160000,154.289993,206.059998,1.631000,500.040985,-15.451000,0.896379,-0.003596,-0.003207,-0.443262,-5.499710,0.019510,0.049110
108,False,False,0.000000,0.000000,1.170000,158.459991,205.929993,1.631000,500.040985,-15.451000,0.909698,-0.003493,-0.003315,-0.415242,-5.499710,0.019510,0.049110
109,False,False,0.000000,0.000000,1.180000,162.629990,205.799988,1.631000,500.040985,-15.451000,0.922142,-0.003391,-0.003423,-0.386822,-5.499710,0.019510,0.049110
110,False,False,0.000000,0.000000,1.190000,166.800003,205.669998,1.631000,500.040985,-15.451000,0.933698,-0.003283,-0.003525,-0.358030,-5.499710,0.019510,0.049110
111,False,False,0.000000,0.000000,1.200000,170.970001,205.539993,1.631000,500.040985,-15.451000,0.944355,-0.003169,-0.003623,-0.328892,-5.499710,0.019510,0.049110
112,False,False,0.000000,0.000000,1.210000,175.139999,205.409988,1.631000,500.040985,-15.451000,0.954104,-0.003056,-0.003720,-0.299437,-5.499710,0.019510,0.049110
113,False,False,0.000000,0.000000,1.220000,179.309998,205.279999,1.631000,500.040985,-15.451000,0.962934,-0.002937,-0.003811,-0.269695,-5.499710,0.019510,0.049110
114,False,False,0.000000,0.000000,1.230000,183.479996,205.149994,1.631000,500.040985,-15.451000,0.970838,-0.002819,-0.003898,-0.239689,-5.499710,0.019510,0.049110
115,False,False,0.000000,0.000000,1.240000,187.649994,205.019989,1.631000,500.040985,-15.451000,0.977806,-0.002695,-0.003984,-0.209456,-5.499710,0.019510,0.049010
116,False,False,0.000000,0.000000,1.250000,191.819992,204.889999,1.631000,500.040985,-15.451000,0.983834,-0.002571,-0.004065,-0.179019,-5.499710,0.019510,0.049010
117,False,False,0.000000,0.000000,1.260000,195.989990,204.759995,1.631000,500.040985,-15.451000,0.988914,-0.002441,-0.004141,-0.148409,-5.499710,0.019510,0.049010
118,False,False,0.000000,0.000000,1.270000,200.159988,204.629990,1.631000,500.040985,-15.451000,0.993042,-0.002312,-0.004211,-0.117658,-5.499710,0.019510,0.049010
119,False,False,0.000000,0.000000,1.280000,204.330002,204.500000,1.631000,500.040985,-15.451000,0.996215,-0.002182,-0.004281,-0.086795,-5.499710,0.019510,0.049010
120,False,False,0.000000,0.000000,1.290000,208.500000,204.369995,1.631000,500.040985,-15.451000,0.998428,-0.002047,-0.004346,-0.055844,-5.499710,0.019510,0.049010
121,False,False,0.000000,0.000000,1.300000,212.669998,204.239990,1.631000,500.040985,-15.451000,0.999680,-0.001912,-0.004405,-0.024840,-5.499710,0.019510,0.049010
122,False,False,0.000000,0.000000,1.310000,216.839996,204.110001,1.631000,500.040985,-15.451000,0.999969,-0.001772,-0.004459,0.006185,-5.499710,0.019510,0.048910
123,False,False,0.000000,0.000000,1.320000,221.009995,203.979996,1.631000,500.040985,-15.451000,0.999296,-0.001632,-0.004513,0.037205,-5.499710,0.019510,0.048910
124,False,False,0.000000,0.000000,1.330000,225.179993,203.849991,1.631000,500.040985,-15.451000,0.997661,-0.001492,-0.004561,0.068188,-5.499710,0.019510,0.048910
125,False,False,0.000000,0.000000,1.340000,229.349991,203.720001,1.631000,500.040985,-15.451000,0.995065,-0.001351,-0.004604,0.099105,-5.499710,0.019510,0.048910
126,False,False,0.000000,0.000000,1.350000,233.519989,203.589996,1.631000,500.040985,-15.451000,0.991512,-0.001206,-0.004642,0.129926,-5.499710,0.019510,0.048910
127,False,False,0.000000,0.000000,1.360000,237.689987,203.459991,1.631000,500.040985,-15.451000,0.987004,-0.001060,-0.004675,0.160623,-5.499710,0.019510,0.048910
128,False,False,0.000000,0.000000,1.370000,241.860001,203.330002,1.631000,500.040985,-15.451000,0.981546,-0.000914,-0.004702,0.191168,-5.499710,0.019510,0.048910
129,False,False,0.000000,0.000000,1.380000,246.029999,203.199997,1.631000,500.040985,-15.451000,0.975143,-0.000769,-0.004729,0.221525,-5.499710,0.019510,0.048810
130,False,False,0.000000,0.000000,1.390000,250.199997,203.069992,1.631000,500.040985,-15.451000,0.967801,-0.000623,-0.004750,0.251671,-5.499710,0.019510,0.048810
131,False,False,0.000000,0.000000,1.400000,254.369995,202.940002,1.631000,500.040985,-15.451000,0.959527,-0.000477,-0.004766,0.281574,-5.499710,0.019510,0.048810
132,False,False,0.000000,0.000000,1.410000,258.540009,202.809998,1.631000,500.040985,-15.451000,0.950330,-0.000332,-0.004777,0.311208,-5.499710,0.019510,0.048810
133,False,False,0.000000,0.000000,1.420000,262.709991,202.679993,1.631000,500.040985,-15.451000,0.940218,-0.000186,-0.004782,0.340540,-5.499710,0.019510,0.048810
134,False,False,0.000000,0.000000,1.430000,266.880005,202.550003,1.631000,500.040985,-15.451000,0.929202,-0.000040,-0.004782,0.369542,-5.499710,0.019610,0.048710
135,False,False,0.000000,0.000000,1.440000,271.049988,202.419998,1.631000,500.040985,-15.451000,0.917289,0.000105,-0.004782,0.398194,-5.499710,0.019610,0.048710
