frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeStrafe,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
57,False,False,0.000000,0.000000,0.000000,0.000000,0.640000,0.000000,168.690002,1.631000,0.000000,207.091003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,0.000000,0.000000,0.650000,0.000000,170.369995,1.631000,0.000000,201.671005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,0.000000,0.000000,0.660000,0.000000,172.009995,1.631000,0.000000,196.251007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,173.599991,1.631000,0.000000,190.831009,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,175.149994,1.631000,0.000000,185.410995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,0.000000,0.000000,0.690000,0.000000,176.649994,1.631000,0.000000,179.990997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,178.099991,1.631000,0.000000,174.570999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,0.000000,0.000000,0.710000,0.000000,179.509995,1.631000,0.000000,169.151001,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,0.000000,0.000000,0.720000,0.000000,180.869995,1.631000,0.000000,163.731003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,0.000000,0.000000,0.730000,0.000000,182.190002,1.631000,0.000000,158.311005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,0.000000,0.000000,0.740000,0.000000,183.459991,1.631000,0.000000,152.891006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,184.690002,1.631000,0.000000,147.471008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,0.000000,0.000000,0.760000,0.000000,185.869995,1.631000,0.000000,142.051010,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
70,False,False,0.000000,0.000000,0.000000,0.000000,0.770000,0.000000,187.009995,1.631000,0.000000,136.630997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,1.000000,1.000000,3.730000,2.950000,188.099991,355.181000,353.591003,131.210999,-0.006385,0.010301,0.000348,0.999927,-1.532510,1.316610,0.090610
72,True,True,-1.000000,1.000000,1.000000,1.000000,6.690000,5.900000,189.149994,355.181000,353.591003,125.791000,-0.018901,0.021140,0.001038,0.999597,-3.003710,2.601710,0.180410
73,True,True,-1.000000,1.000000,1.000000,1.000000,9.650000,8.849999,190.149994,355.181000,353.591003,120.370995,-0.037292,0.037189,0.002074,0.998610,-4.138510,3.613710,0.251710
74,True,True,-1.000000,1.000000,1.000000,1.000000,12.610000,11.800000,191.110001,355.181000,353.591003,114.950996,-0.060187,0.057317,0.003380,0.996534,-4.124810,3.629310,0.252910
75,True,True,-1.000000,1.000000,1.000000,1.000000,15.570000,14.750000,192.019989,355.181000,353.591003,109.530998,-0.082975,0.077456,0.004685,0.993526,-4.114810,3.640610,0.252910
76,True,True,-1.000000,1.000000,1.000000,1.000000,18.529999,17.699999,192.889999,355.181000,353.591003,104.111000,-0.105644,0.097568,0.005991,0.989588,-4.107510,3.648810,0.252310
77,True,True,-1.000000,1.000000,1.000000,1.000000,21.490000,20.650000,193.709991,355.181000,353.591003,98.690994,-0.128184,0.117626,0.007291,0.984723,-4.102310,3.654710,0.251410
78,True,True,-1.000000,1.000000,1.000000,1.000000,24.449999,23.600000,194.489990,355.181000,353.591003,93.270996,-0.150583,0.137597,0.008586,0.978937,-4.098510,3.659010,0.250410
79,True,True,-1.000000,1.000000,1.000000,1.000000,27.410000,26.549999,195.220001,355.181000,353.591003,87.850998,-0.172826,0.157456,0.009875,0.972235,-4.095810,3.662110,0.249510
