frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
40,False,False,1.000000,0.000000,3567.280029,0.000000,17.010000,424.200989,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,-0.000110,0.000000
41,False,False,1.000000,0.000000,3570.819824,0.000000,17.010000,433.890991,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
42,False,False,1.000000,0.000000,3574.439941,0.000000,17.010000,443.501007,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
43,False,False,1.000000,0.000000,3578.139893,0.000000,17.010000,453.031006,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
44,False,False,1.000000,0.000000,3581.919922,0.000000,17.010000,462.480988,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
45,False,False,1.000000,0.000000,3585.770020,0.000000,17.010000,471.850983,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
46,False,False,1.000000,0.000000,3589.699951,0.000000,17.010000,481.140991,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
47,False,False,1.000000,0.000000,3593.709961,0.000000,17.010000,490.350983,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
48,False,False,1.000000,0.000000,3597.799805,0.000000,17.010000,499.480988,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
49,False,False,1.000000,0.000000,3601.959961,0.000000,17.010000,508.531006,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
50,False,False,1.000000,0.000000,3606.199951,0.000000,17.010000,517.500977,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
51,False,False,1.000000,0.000000,3610.510010,0.000000,17.010000,526.390991,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
52,False,False,1.000000,0.000000,3614.899902,0.000000,17.010000,535.210938,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
53,False,False,1.000000,0.000000,3619.359863,0.000000,17.010000,543.950989,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
54,False,False,1.000000,0.000000,3623.889893,0.000000,17.010000,552.620972,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
55,False,False,1.000000,0.000000,3628.500000,0.000000,17.010000,561.210938,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
56,False,False,1.000000,0.000000,3633.179932,0.000000,17.010000,569.730957,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
57,False,False,1.000000,0.000000,3637.929932,0.000000,17.010000,578.180969,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
58,False,False,1.000000,0.000000,3642.750000,0.000000,17.010000,586.550964,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
59,False,False,1.000000,0.000000,3647.639893,0.000000,17.010000,594.850952,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
60,False,False,1.000000,0.000000,3652.599854,0.000000,17.010000,603.080933,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
61,False,False,1.000000,0.000000,3657.629883,0.000000,17.010000,611.240967,0.000000,8.321000,0.000003,0.004745,0.000003,0.999989,0.000000,0.000000,0.000000
