frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
48,False,False,1.000000,0.000000,False,False,3597.699951,0.000000,18.639999,499.399994,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
49,False,False,1.000000,0.000000,False,False,3601.859863,0.000000,18.639999,508.449982,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
50,False,False,1.000000,0.000000,False,False,3606.099854,0.000000,18.639999,517.419983,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
51,False,False,1.000000,0.000000,False,False,3610.409912,0.000000,18.639999,526.309998,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
52,False,False,1.000000,0.000000,False,False,3614.799805,0.000000,18.639999,535.130005,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
53,False,False,1.000000,0.000000,False,False,3619.260010,0.000000,18.639999,543.869995,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
54,False,False,1.000000,0.000000,False,False,3623.790039,0.000000,18.639999,552.539978,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
55,False,False,1.000000,0.000000,False,False,3628.389893,0.000000,18.639999,561.130005,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
56,False,False,1.000000,0.000000,False,False,3633.069824,0.000000,18.639999,569.649963,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
57,False,False,1.000000,0.000000,False,False,3637.819824,0.000000,18.639999,578.099976,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
