frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
57,False,False,0.000000,0.660000,0.000000,173.679993,1.630000,0.000000,217.869995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
58,False,False,0.000000,0.670000,0.000000,175.449997,1.630000,0.000000,212.449997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
59,False,False,0.000000,0.680000,0.000000,177.179993,1.630000,0.000000,207.029999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
60,False,False,0.000000,0.690000,0.000000,178.860001,1.630000,0.000000,201.610001,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
61,False,False,0.000000,0.700000,0.000000,180.489990,1.630000,0.000000,196.190002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
62,False,False,0.000000,0.710000,0.000000,182.080002,1.630000,0.000000,190.769989,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
63,False,False,0.000000,0.720000,0.000000,183.619995,1.630000,0.000000,185.349991,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
64,False,False,0.000000,0.730000,0.000000,185.119995,1.630000,0.000000,179.929993,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
65,False,False,0.000000,0.740000,0.000000,186.569992,1.630000,0.000000,174.509995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
66,False,False,0.000000,0.750000,0.000000,187.979996,1.630000,0.000000,169.089996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
67,False,False,0.000000,0.760000,0.000000,189.339996,1.630000,0.000000,163.669998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
68,False,False,0.000000,0.770000,0.000000,190.659988,1.630000,0.000000,158.250000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
69,False,False,0.000000,0.780000,0.000000,191.929993,1.630000,0.000000,152.830002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
70,False,False,0.000000,0.790000,0.000000,193.159988,1.630000,0.000000,147.410004,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
71,True,True,-1.000000,4.970000,0.000000,194.339996,501.629974,0.000000,141.989990,0.000003,0.012578,0.000003,0.999921,0.000000,1.866600,0.000000
72,True,True,-1.000000,9.150000,0.000000,195.479996,501.619995,0.000000,136.569992,0.000003,0.027942,0.000003,0.999609,0.000000,3.688500,0.000000
73,True,True,-1.000000,13.330000,0.000000,196.569992,501.619995,0.000000,131.149994,0.000003,0.050703,0.000003,0.998714,0.000000,5.466700,0.000000
74,True,True,-1.000000,17.510000,0.000000,197.619995,501.619995,0.000000,125.729996,0.000003,0.080644,0.000003,0.996743,0.000000,5.499900,0.000000
75,True,True,-1.000000,21.689999,0.000000,198.619995,501.619995,0.000000,120.309998,0.000003,0.110650,0.000003,0.993859,0.000000,5.500000,0.000000
76,True,True,-1.000000,25.869999,0.000000,199.580002,501.619995,0.000000,114.889999,0.000003,0.140554,0.000003,0.990073,0.000000,5.499900,0.000000
77,True,True,-1.000000,30.049999,0.000000,200.489990,501.619995,0.000000,109.470001,0.000003,0.170333,0.000003,0.985386,0.000000,5.500000,0.000000
78,True,True,-1.000000,34.230000,0.000000,201.360001,501.619995,0.000000,104.049995,0.000003,0.199956,0.000003,0.979805,0.000000,5.499900,0.000000
79,True,True,-1.000000,38.410000,0.000000,202.179993,501.619995,0.000000,98.629997,0.000003,0.229396,0.000003,0.973333,0.000000,5.500000,0.000000
80,True,True,-1.000000,42.590000,0.000000,202.959991,501.619995,0.000000,93.209999,0.000003,0.258630,0.000003,0.965976,0.000000,5.499900,0.000000
81,True,True,-1.000000,46.770000,0.000000,203.690002,501.619995,0.000000,87.790001,0.000003,0.287627,0.000003,0.957742,0.000000,5.500000,0.000000
82,True,True,-1.000000,50.950001,0.000000,204.379990,501.619995,0.000000,82.369995,0.000003,0.316366,0.000003,0.948637,0.000000,5.499900,0.000000
83,True,True,-1.000000,55.129997,0.000000,205.019989,501.619995,0.000000,76.949997,0.000003,0.344812,0.000003,0.938672,0.000000,5.500000,0.000000
84,True,True,-1.000000,59.309998,0.000000,205.619995,501.619995,0.000000,71.529999,0.000003,0.372946,0.000003,0.927853,0.000000,5.499900,0.000000
85,True,True,-1.000000,63.489998,0.000000,206.169998,501.619995,0.000000,66.110001,0.000003,0.400740,0.000003,0.916192,0.000000,5.500000,0.000000
86,True,True,-1.000000,67.669998,0.000000,206.679993,501.619995,0.000000,60.689999,0.000003,0.428173,0.000003,0.903697,0.000000,5.499900,0.000000
87,True,True,-1.000000,71.849998,0.000000,207.139999,501.619995,0.000000,55.270000,0.000003,0.455217,0.000003,0.890380,0.000000,5.500000,0.000000
88,True,True,-1.000000,76.029999,0.000000,207.559998,501.619995,0.000000,49.849998,0.000003,0.481846,0.000003,0.876256,0.000000,5.499900,0.000000
89,True,True,-1.000000,80.209999,0.000000,207.779999,501.619995,0.000000,26.980000,0.000003,0.508038,0.000003,0.861335,0.000000,5.500000,0.000000
90,True,True,-1.000000,84.389999,0.000000,207.879990,501.619995,0.000000,12.120000,0.000003,0.533766,0.000003,0.845632,0.000000,5.499900,0.000000
91,True,True,-1.000000,88.570000,0.000000,207.899994,501.619995,0.000000,2.460000,0.000003,0.559014,0.000003,0.829158,0.000000,5.500000,0.000000
92,True,True,-1.000000,92.750000,0.000000,207.869995,501.619995,0.000000,-3.810000,0.000003,0.583749,0.000003,0.811934,0.000000,5.499900,0.000000
93,True,True,-1.000000,96.930000,0.000000,207.799988,501.619995,0.000000,-7.890000,0.000003,0.607955,0.000003,0.793971,0.000000,5.500000,0.000000
94,True,True,-1.000000,101.110001,0.000000,207.709991,501.619995,0.000000,-10.540000,0.000003,0.631612,0.000003,0.775285,0.000000,5.499900,0.000000
95,True,True,-1.000000,105.290001,0.000000,207.610001,501.619995,0.000000,-12.259999,0.000003,0.654691,0.000003,0.755897,0.000000,5.499900,0.000000
96,True,True,-1.000000,109.470001,0.000000,207.500000,501.619995,0.000000,-13.380000,0.000003,0.677176,0.000003,0.735821,0.000000,5.500000,0.000000
97,True,True,-1.000000,113.649994,0.000000,207.379990,501.619995,0.000000,-14.110000,0.000003,0.699047,0.000003,0.715076,0.000000,5.499900,0.000000
98,True,True,-1.000000,117.829994,0.000000,207.259995,501.619995,0.000000,-14.580000,0.000003,0.720284,0.000003,0.693679,0.000000,5.499900,0.000000
99,True,True,-1.000000,122.009995,0.000000,207.139999,501.619995,0.000000,-14.889999,0.000003,0.740867,0.000003,0.671652,0.000000,5.499900,0.000000
