frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
71,0.000000,0.000000,1073.539917,0.000000,0.000000,3390.910889,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
72,0.000000,0.000000,1101.750000,0.000000,0.000000,3384.630859,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
73,0.000000,0.000000,1129.900024,0.000000,0.000000,3378.350830,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
74,0.000000,0.000000,1158.000000,0.000000,0.000000,3372.070801,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
75,0.000000,0.000000,1186.049927,0.000000,0.000000,3365.791016,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
76,0.000000,0.000000,1214.049927,0.000000,0.000000,3359.520996,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
77,0.000000,0.000000,1241.989990,0.000000,0.000000,3353.250977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
78,0.000000,0.000000,1269.880005,0.000000,0.000000,3346.980957,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
79,0.000000,0.000000,1297.719971,0.000000,0.000000,3340.710938,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
80,0.000000,0.000000,1325.510010,0.000000,0.000000,3334.440918,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
81,0.000000,0.000000,1353.239990,0.000000,0.000000,3328.170898,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
82,0.000000,0.000000,1380.919922,0.000000,0.000000,3321.900879,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
83,0.000000,0.000000,1408.549927,0.000000,0.000000,3315.640869,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
84,0.000000,0.000000,1436.130005,0.000000,0.000000,3309.380859,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
85,0.000000,0.000000,1463.659912,0.000000,0.000000,3303.120850,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
86,0.000000,0.000000,1491.130005,0.000000,0.000000,3296.860840,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
87,0.000000,0.000000,1518.549927,0.000000,0.000000,3290.600830,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
88,0.000000,0.000000,1545.919922,0.000000,0.000000,3284.340820,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
89,0.000000,0.000000,1573.239990,0.000000,0.000000,3278.090820,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
90,0.000000,0.000000,1600.510010,0.000000,0.000000,3271.840820,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
