frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
43,True,True,-1.000000,0.000000,-200.000000,1104.489990,0.000000,0.000000,291.661011,-0.281305,0.281321,0.648735,0.648744,-4.463410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,True,True,-1.000000,0.000000,-200.000000,1106.919922,0.000000,0.000000,291.661011,-0.293599,0.293616,0.643264,0.643273,-4.567210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,True,True,-1.000000,0.000000,-200.000000,1109.349976,0.000000,0.000000,291.661011,-0.306061,0.306078,0.637427,0.637440,-4.671010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,True,True,-1.000000,0.000000,-200.000000,1111.780029,0.000000,0.000000,291.661011,-0.318680,0.318696,0.631212,0.631226,-4.774810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
47,True,True,-1.000000,0.000000,-200.000000,1114.209961,0.000000,0.000000,291.661011,-0.331444,0.331460,0.624604,0.624619,-4.878610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
48,True,True,-1.000000,0.000000,-200.000000,1116.640015,0.000000,0.000000,291.661011,-0.344338,0.344354,0.617590,0.617603,-4.982410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
49,True,True,-1.000000,0.000000,-200.000000,1119.069946,0.000000,0.000000,291.661011,-0.357350,0.357366,0.610156,0.610163,-5.086210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
50,True,True,-1.000000,0.000000,-200.000000,1121.500000,0.000000,0.000000,291.661011,-0.370459,0.370476,0.602285,0.602296,-5.190010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
51,True,True,-1.000000,0.000000,-200.000000,1123.929932,0.000000,0.000000,291.661011,-0.383655,0.383671,0.593967,0.593977,-5.293810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
52,True,True,-1.000000,0.000000,-200.000000,1126.359985,0.000000,0.000000,291.661011,-0.396916,0.396932,0.585189,0.585198,-5.397610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
53,True,True,-1.000000,0.000000,-200.000000,1128.789917,0.000000,0.000000,291.661011,-0.410225,0.410241,0.575937,0.575947,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
54,True,True,-1.000000,0.000000,-200.000000,1131.219971,0.000000,0.000000,291.661011,-0.423561,0.423577,0.566200,0.566213,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
