frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
58,False,False,False,False,0.000000,1.000000,0.650000,3.750000,170.169998,1.631000,10.501000,201.041000,0.798271,-0.002916,-0.003714,-0.602280,-5.499710,0.000000,0.051910
59,False,False,False,False,0.000000,1.000000,0.660000,3.840000,171.800003,1.631000,10.501000,195.621002,0.812107,-0.002824,-0.003779,-0.583490,-5.499710,0.000000,0.051910
60,False,False,False,False,0.000000,1.000000,0.670000,3.930000,173.389999,1.631000,10.501000,190.201004,0.825501,-0.002732,-0.003838,-0.564381,-5.499710,0.000000,0.051910
61,False,False,False,False,0.000000,1.000000,0.680000,4.020000,174.929993,1.631000,10.501000,184.781006,0.838442,-0.002641,-0.003898,-0.544971,-5.499710,0.000000,0.051910
62,False,False,False,False,0.000000,1.000000,0.690000,4.110000,176.419998,1.631000,10.501000,179.361008,0.850926,-0.002549,-0.003957,-0.525264,-5.499710,0.000000,0.051910
63,False,False,False,False,0.000000,1.000000,0.700000,4.200000,177.869995,1.631000,10.501000,173.941010,0.862948,-0.002452,-0.004011,-0.505270,-5.499710,0.000000,0.051910
64,False,False,False,False,0.000000,1.000000,0.710000,4.290000,179.269989,1.631000,10.501000,168.520996,0.874500,-0.002355,-0.004065,-0.485002,-5.499710,0.000000,0.051910
65,False,False,False,False,0.000000,1.000000,0.720000,4.380000,180.629990,1.631000,10.501000,163.100998,0.885577,-0.002258,-0.004114,-0.464469,-5.499710,0.000000,0.051910
66,False,False,False,False,0.000000,1.000000,0.730000,4.470000,181.940002,1.631000,10.501000,157.681000,0.896171,-0.002161,-0.004162,-0.443683,-5.499710,0.000000,0.051910
67,False,False,False,False,0.000000,1.000000,0.740000,4.560000,183.209991,1.631000,10.501000,152.261002,0.906279,-0.002058,-0.004211,-0.422654,-5.499710,0.000000,0.051910
68,False,False,False,False,0.000000,1.000000,0.750000,4.650000,184.429993,1.631000,10.501000,146.841003,0.915894,-0.001956,-0.004254,-0.401393,-5.499710,0.000000,0.051910
69,False,False,False,False,0.000000,1.000000,0.760000,4.740000,185.610001,1.631000,10.501000,141.421005,0.925009,-0.001853,-0.004297,-0.379916,-5.499710,0.000000,0.051810
70,False,False,False,False,0.000000,1.000000,0.770000,4.830000,186.739990,1.631000,10.501000,136.001007,0.933620,-0.001751,-0.004335,-0.358235,-5.499710,0.000000,0.051810
71,True,True,False,False,0.000000,0.000000,0.770000,6.540000,186.019989,-0.361000,205.600998,-86.210999,0.941274,-0.001654,-0.004367,-0.337610,-5.280010,0.000000,0.049710
72,False,False,True,True,1.000000,0.000000,0.840000,8.250000,185.259995,7.901000,205.591003,-91.700996,0.948194,-0.001853,-0.004507,-0.317655,-5.069610,0.048210,-0.010810
73,False,False,True,True,1.000000,0.000000,0.980000,9.960000,184.449997,16.720999,205.581009,-97.200996,0.954439,-0.002360,-0.004745,-0.298358,-4.867610,0.093810,-0.073310
74,False,False,True,True,1.000000,0.000000,1.190000,11.670000,183.589996,25.530998,205.561005,-102.700996,0.960063,-0.003169,-0.005068,-0.279719,-4.673710,0.136710,-0.137710
