frame,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
97,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.836512,-0.547949,0.000000,0.000000,5.500010
98,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.823556,-0.567235,0.000000,0.000000,5.500010
99,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.810156,-0.586214,0.000000,0.000000,5.500010
100,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.796320,-0.604875,0.000000,0.000000,5.500010
101,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.782053,-0.623212,0.000000,0.000000,5.500010
102,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.767366,-0.641209,0.000000,0.000000,5.500010
103,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.752265,-0.658861,0.000000,0.000000,5.500010
104,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.736758,-0.676157,0.000000,0.000000,5.500010
105,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.720850,-0.693091,0.000000,0.000000,5.500010
106,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.704555,0.709649,0.000000,0.000000,5.500010
107,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.687880,0.725825,0.000000,0.000000,5.500010
108,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.670832,0.741609,0.000000,0.000000,5.500010
109,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.653423,0.756993,0.000000,0.000000,5.500010
