frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeStrafe,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
117,False,False,1.000000,1.000000,0.000000,0.090000,196.289993,0.000000,196.869995,499.760986,0.000000,-15.451000,-0.092254,0.976920,0.000159,0.192657,-0.518410,5.475510,0.001210
118,False,False,1.000000,1.000000,0.000000,0.090000,200.449997,0.000000,196.739990,499.760986,0.000000,-15.451000,-0.092761,0.982256,0.000154,0.162996,-0.518410,5.475510,0.001210
119,False,False,1.000000,1.000000,0.000000,0.090000,204.610001,0.000000,196.610001,499.760986,0.000000,-15.451000,-0.093182,0.986701,0.000148,0.133185,-0.518410,5.475510,0.001210
120,False,False,1.000000,1.000000,0.000000,0.090000,208.769989,0.000000,196.479996,499.760986,0.000000,-15.451000,-0.093522,0.990249,0.000143,0.103254,-0.518410,5.475510,0.001210
121,False,False,1.000000,1.000000,0.000000,0.090000,212.929993,0.000000,196.349991,499.760986,0.000000,-15.451000,-0.093775,0.992897,0.000138,0.073227,-0.518410,5.475510,0.001210
122,False,False,1.000000,1.000000,0.000000,0.090000,217.089996,0.000000,196.220001,499.760986,0.000000,-15.451000,-0.093943,0.994643,0.000132,0.043134,-0.518410,5.475510,0.001210
123,False,False,1.000000,1.000000,0.000000,0.090000,221.250000,0.000000,196.089996,499.760986,0.000000,-15.451000,-0.094024,0.995485,0.000127,0.013004,-0.518410,5.475510,0.001210
124,False,False,1.000000,1.000000,0.000000,0.090000,225.409988,0.000000,195.959991,499.760986,0.000000,-15.451000,-0.094018,0.995423,0.000121,-0.017137,-0.518410,5.475510,0.001210
125,False,False,1.000000,1.000000,0.000000,0.090000,229.569992,0.000000,195.830002,499.760986,0.000000,-15.451000,-0.093932,0.994456,0.000116,-0.047267,-0.518410,5.475510,0.001210
126,False,False,1.000000,1.000000,0.000000,0.090000,233.729996,0.000000,195.699997,499.760986,0.000000,-15.451000,-0.093759,0.992585,0.000111,-0.077354,-0.518410,5.475510,0.001210
127,False,False,1.000000,1.000000,0.000000,0.090000,237.889999,0.000000,195.569992,499.760986,0.000000,-15.451000,-0.093500,0.989813,0.000105,-0.107370,-0.518410,5.475510,0.001210
128,False,False,1.000000,1.000000,0.000000,0.090000,242.049988,0.000000,195.440002,499.760986,0.000000,-15.451000,-0.093155,0.986141,0.000100,-0.137290,-0.518410,5.475510,0.001210
129,False,False,1.000000,1.000000,0.000000,0.090000,246.209991,0.000000,195.309998,499.760986,0.000000,-15.451000,-0.092729,0.981573,0.000094,-0.167080,-0.518410,5.475510,0.001210
130,False,False,1.000000,1.000000,0.000000,0.090000,250.369995,0.000000,195.179993,499.760986,0.000000,-15.451000,-0.092216,0.976113,0.000089,-0.196719,-0.518410,5.475510,0.001210
131,False,False,1.000000,1.000000,0.000000,0.090000,254.529999,0.000000,195.050003,499.760986,0.000000,-15.451000,-0.091617,0.969767,0.000084,-0.226180,-0.518410,5.475510,0.001210
132,False,False,1.000000,1.000000,0.000000,0.090000,258.690002,0.000000,194.919998,499.760986,0.000000,-15.451000,-0.090938,0.962540,0.000078,-0.255436,-0.518310,5.475510,0.001210
133,False,False,1.000000,1.000000,0.000000,0.090000,262.850006,0.000000,194.789993,499.760986,0.000000,-15.451000,-0.090177,0.954437,0.000073,-0.284461,-0.518310,5.475510,0.001210
134,False,False,1.000000,1.000000,0.000000,0.090000,267.009979,0.000000,194.659988,499.760986,0.000000,-15.451000,-0.089330,0.945468,0.000067,-0.313226,-0.518310,5.475510,0.001210
135,False,False,1.000000,1.000000,0.000000,0.090000,271.169983,0.000000,194.529999,499.760986,0.000000,-15.451000,-0.088402,0.935640,0.000062,-0.341705,-0.518310,5.475510,0.001310
136,False,False,1.000000,1.000000,0.000000,0.090000,275.329987,0.000000,194.399994,499.760986,0.000000,-15.451000,-0.087399,0.924961,0.000057,-0.369877,-0.518210,5.475510,0.001310
137,False,False,1.000000,1.000000,0.000000,0.090000,279.489990,0.000000,194.269989,499.760986,0.000000,-15.451000,-0.086314,0.913443,0.000051,-0.397709,-0.518210,5.475510,0.001310
138,False,False,1.000000,1.000000,0.000000,0.090000,283.649994,0.000000,194.139999,499.760986,0.000000,-15.451000,-0.085149,0.901093,0.000046,-0.425184,-0.518210,5.475510,0.001310
139,False,False,1.000000,1.000000,0.000000,0.090000,287.809998,0.000000,194.009995,499.760986,0.000000,-15.451000,-0.083908,0.887924,0.000040,-0.452272,-0.518210,5.475510,0.001310
140,False,False,1.000000,1.000000,0.000000,0.090000,291.970001,0.000000,193.879990,499.760986,0.000000,-15.451000,-0.082592,0.873949,0.000035,-0.478949,-0.518110,5.475510,0.001310
141,False,False,1.000000,1.000000,0.000000,0.090000,296.130005,0.000000,193.750000,499.760986,0.000000,-15.451000,-0.081200,0.859180,0.000030,-0.505190,-0.518110,5.475510,0.001310
142,False,False,1.000000,1.000000,0.000000,0.090000,300.290009,0.000000,193.619995,499.760986,0.000000,-15.451000,-0.079733,0.843630,0.000024,-0.530971,-0.518110,5.475510,0.001410
143,False,False,1.000000,1.000000,0.000000,0.090000,304.449982,0.000000,193.489990,499.760986,0.000000,-15.451000,-0.078195,0.827316,0.000019,-0.556268,-0.518110,5.475510,0.001410
144,False,False,1.000000,1.000000,0.000000,0.090000,308.609985,0.000000,193.360001,499.760986,0.000000,-15.451000,-0.076588,0.810247,0.000013,-0.581062,-0.518010,5.475510,0.001410
