frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
38,False,False,False,False,0.000000,1.000000,-0.310000,1.950000,129.869995,-0.731000,10.501000,309.501007,-0.441973,-0.002171,-0.001001,0.897025,-5.499910,0.000000,-0.025510
39,False,False,False,False,0.000000,1.000000,-0.320000,2.040000,132.399994,-0.731000,10.501000,304.080994,-0.462781,-0.002144,-0.001049,0.886469,-5.499910,0.000000,-0.025510
40,False,False,False,False,0.000000,1.000000,-0.330000,2.130000,134.889999,-0.731000,10.501000,298.661011,-0.483335,-0.002117,-0.001092,0.875432,-5.499910,0.000000,-0.025510
41,False,False,False,False,0.000000,1.000000,-0.340000,2.220000,137.330002,-0.731000,10.501000,293.240997,-0.503630,-0.002090,-0.001136,0.863916,-5.499910,0.000000,-0.025510
42,False,False,False,False,0.000000,1.000000,-0.350000,2.310000,139.729996,-0.731000,10.501000,287.821014,-0.523651,-0.002064,-0.001179,0.851930,-5.499910,0.000000,-0.025510
43,False,False,False,False,0.000000,1.000000,-0.360000,2.400000,142.080002,-0.731000,10.501000,282.401001,-0.543385,-0.002031,-0.001222,0.839480,-5.499910,0.000000,-0.025510
44,False,False,False,False,0.000000,1.000000,-0.370000,2.490000,144.389999,-0.731000,10.501000,276.980988,-0.562822,-0.001999,-0.001265,0.826574,-5.499910,0.000000,-0.025510
45,False,False,False,False,0.000000,1.000000,-0.380000,2.580000,146.649994,-0.731000,10.501000,271.561005,-0.581952,-0.001966,-0.001308,0.813219,-5.499910,0.000000,-0.025510
46,False,False,False,False,0.000000,1.000000,-0.390000,2.670000,148.869995,-0.731000,10.501000,266.140991,-0.600764,-0.001934,-0.001351,0.799423,-5.499910,0.000000,-0.025510
47,False,False,False,False,0.000000,1.000000,-0.400000,2.760000,151.039993,-0.731000,10.501000,260.721008,-0.619252,-0.001902,-0.001395,0.785189,-5.499910,0.000000,-0.025510
