frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
105,False,False,1.000000,0.000000,False,3938.909912,0.000000,42.629997,771.240967,0.000000,361.841003,0.000003,-0.228980,0.000003,0.973431,0.000000,-3.720610,0.000000
106,False,False,1.000000,0.000000,False,3945.250000,0.000000,45.840000,760.450989,0.000000,385.230988,0.000003,-0.245915,0.000003,0.969292,0.000000,-4.183410,0.000000
107,False,False,1.000000,0.000000,False,3951.579834,0.000000,49.119999,759.350952,0.000000,393.251007,0.000003,-0.263572,0.000003,0.964640,0.000000,-4.382810,0.000000
108,False,False,1.000000,0.000000,False,3957.929932,0.000000,52.410000,762.360962,0.000000,395.240997,0.000003,-0.281353,0.000003,0.959604,0.000000,-4.435610,0.000000
109,False,False,1.000000,0.000000,False,3964.319824,0.000000,55.699997,766.550964,0.000000,395.010986,0.000003,-0.299194,0.000003,0.954192,0.000000,-4.473910,0.000000
110,False,False,1.000000,0.000000,False,3970.500000,0.000000,59.430000,741.570984,0.000000,447.431000,0.000003,-0.311548,0.000003,0.950230,0.000000,-3.113610,0.000000
111,False,False,1.000000,0.000000,False,3976.309814,0.000000,63.619999,697.330933,0.000000,502.200989,0.000003,-0.326303,0.000003,0.945265,0.000000,-3.735710,0.000000
112,False,False,1.000000,0.000000,False,3981.959961,0.000000,68.029999,678.030945,0.000000,529.500977,0.000003,-0.341996,0.000003,0.939701,0.000000,-3.996010,0.000000
113,False,False,1.000000,0.000000,False,3987.569824,0.000000,72.529999,672.580933,0.000000,540.130981,0.000003,-0.358121,0.000003,0.933675,0.000000,-4.131510,0.000000
114,False,False,1.000000,0.000000,False,3993.189941,0.000000,77.049995,673.900940,0.000000,542.880981,0.000003,-0.374306,0.000003,0.927305,0.000000,-4.174510,0.000000
115,False,False,1.000000,0.000000,False,3998.829834,0.000000,81.580002,676.930969,0.000000,543.420959,0.000003,-0.390523,0.000003,0.920593,0.000000,-4.212310,0.000000
116,False,False,1.000000,0.000000,False,4004.189941,0.000000,86.479996,643.260986,0.000000,587.540955,0.000003,-0.401706,0.000003,0.915769,0.000000,-2.923610,0.000000
117,False,False,1.000000,0.000000,False,4009.409912,0.000000,91.579994,626.500977,0.000000,611.480957,0.000003,-0.410349,0.000003,0.911929,0.000000,-2.269510,0.000000
118,False,False,1.000000,0.000000,False,4014.239990,0.000000,96.949997,579.470947,0.000000,644.860962,0.000003,-0.423264,0.000003,0.906006,0.000000,-3.410210,0.000000
119,False,False,1.000000,0.000000,False,4018.909912,0.000000,102.439995,560.870972,0.000000,659.300964,0.000003,-0.438154,0.000003,0.898900,0.000000,-3.959710,0.000000
120,False,False,1.000000,0.000000,False,4023.539795,0.000000,107.979996,556.190979,0.000000,664.420959,0.000003,-0.453750,0.000003,0.891129,0.000000,-4.181910,0.000000
121,False,False,1.000000,0.000000,False,4028.189941,0.000000,113.529999,557.590942,0.000000,665.560974,0.000003,-0.469454,0.000003,0.882957,0.000000,-4.248210,0.000000
122,False,False,1.000000,0.000000,False,4032.500000,0.000000,119.369995,517.090942,0.000000,700.610962,0.000003,-0.480541,0.000003,0.876972,0.000000,-3.023110,0.000000
123,False,False,1.000000,0.000000,False,4036.639893,0.000000,125.369995,496.540985,0.000000,719.660950,0.000003,-0.489286,0.000003,0.872124,0.000000,-2.400110,0.000000
124,False,False,1.000000,0.000000,False,4040.339844,0.000000,131.559998,443.830994,0.000000,742.490967,0.000003,-0.502071,0.000003,0.864826,0.000000,-3.533210,0.000000
125,False,False,1.000000,0.000000,False,4043.859863,0.000000,137.830002,422.681000,0.000000,752.430969,0.000003,-0.516691,0.000003,0.856172,0.000000,-4.076710,0.000000
126,False,False,1.000000,0.000000,False,4047.339844,0.000000,144.129990,417.031006,0.000000,755.990967,0.000003,-0.531910,0.000003,0.846801,0.000000,-4.289410,0.000000
127,False,False,1.000000,0.000000,False,4050.819824,0.000000,150.440002,417.911011,0.000000,756.920959,0.000003,-0.547177,0.000003,0.837017,0.000000,-4.351410,0.000000
128,False,False,1.000000,0.000000,False,4053.929932,0.000000,156.959991,372.860992,0.000000,782.200989,0.000003,-0.558140,0.000003,0.829747,0.000000,-3.156310,0.000000
129,False,False,1.000000,0.000000,False,4056.839844,0.000000,163.589996,349.691010,0.000000,796.130981,0.000003,-0.566895,0.000003,0.823790,0.000000,-2.541210,0.000000
130,False,False,1.000000,0.000000,False,4059.299805,0.000000,170.319992,294.640991,0.000000,807.470947,0.000003,-0.579250,0.000003,0.815150,0.000000,-3.618010,0.000000
131,False,False,1.000000,0.000000,False,4061.559814,0.000000,177.089996,271.621002,0.000000,812.930969,0.000003,-0.593195,0.000003,0.805059,0.000000,-4.132010,0.000000
132,False,False,1.000000,0.000000,False,4063.770020,0.000000,183.879990,264.651001,0.000000,815.090942,0.000003,-0.607702,0.000003,0.794165,0.000000,-4.353710,0.000000
133,False,False,1.000000,0.000000,False,4065.979980,0.000000,190.679993,264.890991,0.000000,815.960938,0.000003,-0.622203,0.000003,0.782856,0.000000,-4.414010,0.000000
134,False,False,1.000000,0.000000,False,4068.209961,0.000000,197.479996,267.501007,0.000000,816.140930,0.000003,-0.636634,0.000003,0.771166,0.000000,-4.456810,0.000000
135,False,False,1.000000,0.000000,False,4069.989990,0.000000,204.419998,214.181000,0.000000,833.260986,0.000003,-0.646669,0.000003,0.762771,0.000000,-3.139210,0.000000
136,False,False,1.000000,0.000000,False,4071.539795,0.000000,211.440002,186.481003,0.000000,842.940979,0.000003,-0.654453,0.000003,0.756102,0.000000,-2.459810,0.000000
137,False,False,1.000000,0.000000,False,4072.799805,0.000000,218.509995,151.721008,0.000000,847.910950,0.000003,-0.663349,0.000003,0.748310,0.000000,-2.837810,0.000000
138,False,False,1.000000,0.000000,False,4073.949951,0.000000,225.599991,138.311005,0.000000,850.350952,0.000003,-0.672747,0.000003,0.739872,0.000000,-3.030910,0.000000
139,False,False,1.000000,0.000000,False,4075.079834,0.000000,232.699997,135.341003,0.000000,851.500977,0.000003,-0.682258,0.000003,0.731111,0.000000,-3.104310,0.000000
140,False,False,1.000000,0.000000,False,4076.209961,0.000000,239.799988,135.431000,0.000000,852.280945,0.000003,-0.691775,0.000003,0.722113,0.000000,-3.143810,0.000000
141,False,False,1.000000,0.000000,False,4076.889893,0.000000,246.949997,81.260994,0.000000,857.700928,0.000003,-0.697407,0.000003,0.716675,0.000000,-1.878410,0.000000
142,False,False,1.000000,0.000000,False,4077.329834,0.000000,254.129990,52.450996,0.000000,861.210938,0.000003,-0.701129,0.000003,0.713034,0.000000,-1.249110,0.000000
143,False,False,1.000000,0.000000,False,4077.639893,0.000000,261.320007,37.591000,0.000000,863.260986,0.000003,-0.703962,0.000003,0.710238,0.000000,-0.955310,0.000000
144,False,False,1.000000,0.000000,False,4077.909912,0.000000,268.519989,32.170998,0.000000,864.360962,0.000003,-0.706524,0.000003,0.707689,0.000000,-0.868110,0.000000
145,False,False,1.000000,0.000000,False,4078.169922,0.000000,275.729980,30.860998,0.000000,865.070984,-0.000003,0.709044,-0.000003,-0.705165,0.000000,-0.856610,0.000000
146,False,False,1.000000,0.000000,False,4078.429932,0.000000,282.940002,30.810999,0.000000,865.680969,-0.000003,0.711556,-0.000003,-0.702629,0.000000,-0.857410,0.000000
147,False,False,1.000000,0.000000,False,4078.689941,0.000000,290.160004,31.610998,0.000000,866.220947,-0.000003,0.714088,-0.000003,-0.700056,0.000000,-0.865910,0.000000
148,False,False,1.000000,0.000000,False,4078.739990,0.000000,297.380005,6.431000,0.000000,866.320984,-0.000003,0.714823,-0.000003,-0.699306,0.000000,-0.252410,0.000000
149,False,False,1.000000,0.000000,False,4078.689941,0.000000,304.600006,-6.531000,0.000000,866.810974,-0.000003,0.714717,-0.000003,-0.699414,0.000000,0.036210,0.000000
150,False,False,1.000000,0.000000,False,4078.589844,0.000000,311.829987,-12.301001,0.000000,867.290955,-0.000003,0.714294,-0.000003,-0.699845,0.000000,0.144710,0.000000
151,False,False,1.000000,0.000000,False,4078.469971,0.000000,319.059998,-14.031000,0.000000,867.770935,-0.000003,0.713818,-0.000003,-0.700331,0.000000,0.163910,0.000000
152,False,False,1.000000,0.000000,False,4078.349854,0.000000,326.299988,-14.681000,0.000000,868.240967,-0.000003,0.713326,-0.000003,-0.700833,0.000000,0.168810,0.000000
153,False,False,1.000000,0.000000,False,4078.229980,0.000000,333.539978,-14.621000,0.000000,868.710938,-0.000003,0.712843,-0.000003,-0.701324,0.000000,0.164910,0.000000
154,False,False,1.000000,1.000000,False,4078.109863,0.100000,340.759979,-14.041000,11.501000,866.700928,0.000968,0.712385,-0.000958,-0.701787,-0.326010,0.155810,-0.005310
155,False,False,1.000000,1.000000,False,4078.000000,0.280000,347.970001,-13.161000,21.921000,864.950928,0.002781,0.711961,-0.002754,-0.702208,-0.612310,0.143910,-0.007510
