frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
60,False,True,True,0.000000,1.000000,-2000.000000,-4219.989746,18.779999,0.000000,1016.210938,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
61,False,True,True,0.000000,1.000000,-2000.000000,-4211.409668,18.779999,0.000000,1029.090942,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
62,False,True,True,0.000000,1.000000,-2000.000000,-4202.729980,18.779999,0.000000,1041.860962,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
63,False,True,True,0.000000,1.000000,-2000.000000,-4193.939941,18.779999,0.000000,1054.520996,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
64,False,True,True,0.000000,1.000000,-2000.000000,-4185.049805,18.779999,0.000000,1067.070923,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
65,False,True,True,0.000000,1.000000,-2000.000000,-4176.049805,18.779999,0.000000,1079.520996,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
66,False,True,True,0.000000,1.000000,-2000.000000,-4166.949707,18.779999,0.000000,1091.860962,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
67,False,True,True,0.000000,1.000000,-2000.000000,-4157.750000,18.779999,0.000000,1104.090942,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
68,False,True,True,0.000000,1.000000,-2000.000000,-4148.449707,18.779999,0.000000,1116.220947,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
69,False,True,True,0.000000,1.000000,-2000.000000,-4139.049805,18.779999,0.000000,1128.250977,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
