frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
39,0.000000,188.649994,1000.219971,0.000000,1971.450928,0.921000,0.007890,-0.007879,0.707047,0.707078,0.098110,0.000000,0.000000,0.000000,563.029968,998.929993,0.000000,3219.830811,-5.361000,-0.017671,0.000003,0.000003,0.999844,-0.201410,0.000000,0.000000
40,0.000000,205.080002,1000.229980,0.000000,1971.450928,0.921000,0.008170,-0.008160,0.707042,0.707077,0.095710,0.000000,0.000000,0.000000,589.859985,998.889954,0.000000,3219.010986,-5.351000,-0.018512,0.000003,0.000003,0.999829,-0.201410,0.000000,0.000000
41,0.000000,221.509995,1000.239990,0.000000,1971.450928,0.921000,0.008446,-0.008435,0.707037,0.707076,0.093410,0.000000,0.000000,0.000000,616.679993,998.849976,0.000000,3218.190918,-5.341000,-0.019354,0.000003,0.000003,0.999813,-0.201410,0.000000,0.000000
42,0.000000,237.939987,1000.250000,0.000000,1971.450928,0.921000,0.008715,-0.008705,0.707031,0.707075,0.091110,0.000000,0.000000,0.000000,643.489990,998.809998,0.000000,3217.370850,-5.331000,-0.020196,0.000003,0.000003,0.999796,-0.201410,0.000000,0.000000
43,0.000000,254.369995,1000.259949,0.000000,1971.450928,0.921000,0.008980,-0.008969,0.707026,0.707074,0.088910,0.000000,0.000000,0.000000,670.289978,998.769958,0.000000,3216.551025,-5.321000,-0.021037,0.000003,0.000003,0.999779,-0.201410,0.000000,0.000000
44,0.000000,270.799988,1000.269958,0.000000,1971.450928,0.921000,0.009233,-0.009222,0.707020,0.707073,0.086710,0.000000,0.000000,0.000000,697.089966,998.729980,0.000000,3215.730957,-5.311000,-0.021879,0.000003,0.000003,0.999761,-0.201410,0.000000,0.000000
45,0.000000,287.229980,1000.279968,0.000000,1971.450928,0.921000,0.009481,-0.009471,0.707015,0.707071,0.084610,0.000000,0.000000,0.000000,723.880005,998.690002,0.000000,3214.910889,-5.301000,-0.022720,0.000003,0.000003,0.999742,-0.201410,0.000000,0.000000
46,0.000000,303.660004,1000.289978,0.000000,1971.450928,0.921000,0.009724,-0.009713,0.707010,0.707070,0.082510,0.000000,0.000000,0.000000,750.659973,998.649963,0.000000,3214.090820,-5.291000,-0.023562,0.000003,0.000003,0.999722,-0.201410,0.000000,0.000000
47,0.000000,320.089996,1000.299988,0.000000,1971.450928,0.921000,0.009961,-0.009951,0.707004,0.707069,0.080510,0.000000,0.000000,0.000000,777.440002,998.609985,0.000000,3213.270996,-5.281000,-0.024403,0.000003,0.000003,0.999702,-0.201410,0.000000,0.000000
48,0.000000,336.519989,1000.309998,0.000000,1971.450928,0.921000,0.010193,-0.010183,0.706999,0.707068,0.078510,0.000000,0.000000,0.000000,804.209961,998.570007,0.000000,3212.450928,-5.271000,-0.025245,0.000003,0.000003,0.999681,-0.201410,0.000000,0.000000
