frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeRight,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
52,False,False,0.000000,0.000000,0.000000,0.000000,1.130000,0.000000,159.639999,2.961000,0.000000,234.141006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
53,False,False,0.000000,0.000000,0.000000,0.000000,1.150000,0.000000,161.550003,2.961000,0.000000,228.721008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
54,False,False,0.000000,0.000000,0.000000,0.000000,1.170000,0.000000,163.410004,2.961000,0.000000,223.300995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
55,False,False,0.000000,0.000000,0.000000,0.000000,1.190000,0.000000,165.229996,2.961000,0.000000,217.880997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
56,False,False,0.000000,0.000000,0.000000,0.000000,1.210000,0.000000,167.000000,2.961000,0.000000,212.460999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
57,False,False,0.000000,0.000000,0.000000,0.000000,1.230000,0.000000,168.729996,2.961000,0.000000,207.041000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,0.000000,0.000000,1.250000,0.000000,170.410004,2.961000,0.000000,201.621002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,0.000000,0.000000,1.270000,0.000000,172.050003,2.961000,0.000000,196.201004,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,0.000000,0.000000,1.290000,0.000000,173.639999,2.961000,0.000000,190.781006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,0.000000,0.000000,1.310000,0.000000,175.179993,2.961000,0.000000,185.361008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,0.000000,0.000000,1.330000,0.000000,176.679993,2.961000,0.000000,179.941010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,0.000000,0.000000,1.350000,0.000000,178.129990,2.961000,0.000000,174.520996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,0.000000,0.000000,1.370000,0.000000,179.539993,2.961000,0.000000,169.100998,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,0.000000,0.000000,1.390000,0.000000,180.899994,2.961000,0.000000,163.681000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,0.000000,0.000000,1.410000,0.000000,182.220001,2.961000,0.000000,158.261002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,0.000000,0.000000,1.430000,0.000000,183.489990,2.961000,0.000000,152.841003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,0.000000,0.000000,1.450000,0.000000,184.720001,2.961000,0.000000,147.421005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,0.000000,0.000000,1.470000,0.000000,185.899994,2.961000,0.000000,142.001007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
70,False,False,0.000000,0.000000,0.000000,0.000000,1.490000,0.000000,187.039993,2.961000,0.000000,136.581009,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,1.000000,1.000000,4.460000,2.950000,188.129990,356.510986,353.640991,131.161011,-0.006385,0.013894,0.000375,0.999883,-1.531810,1.316610,0.101610
72,True,True,-1.000000,1.000000,1.000000,1.000000,7.430000,5.900000,189.179993,356.510986,353.640991,125.740997,-0.018901,0.024733,0.001114,0.999515,-3.002410,2.601710,0.201910
73,True,True,-1.000000,1.000000,1.000000,1.000000,10.400000,8.849999,190.179993,356.510986,353.640991,120.320999,-0.037292,0.040782,0.002215,0.998470,-4.136610,3.613710,0.281310
74,True,True,-1.000000,1.000000,1.000000,1.000000,13.370000,11.800000,191.139999,356.510986,353.640991,114.900993,-0.060182,0.060905,0.003601,0.996321,-4.122910,3.629210,0.282410
75,True,True,-1.000000,1.000000,1.000000,1.000000,16.340000,14.750000,192.050003,356.510986,353.640991,109.480995,-0.082964,0.081033,0.004987,0.993240,-4.112910,3.640510,0.282410
76,True,True,-1.000000,1.000000,1.000000,1.000000,19.309999,17.699999,192.919998,356.510986,353.640991,104.060997,-0.105628,0.101134,0.006374,0.989229,-4.105710,3.648710,0.281710
77,True,True,-1.000000,1.000000,1.000000,1.000000,22.279999,20.650000,193.739990,356.510986,353.640991,98.640999,-0.128162,0.121170,0.007755,0.984293,-4.100510,3.654710,0.280810
78,True,True,-1.000000,1.000000,1.000000,1.000000,25.250000,23.600000,194.519989,356.510986,353.640991,93.221001,-0.150556,0.141120,0.009131,0.978435,-4.096710,3.659010,0.279810
79,True,True,-1.000000,1.000000,1.000000,1.000000,28.219999,26.549999,195.250000,356.510986,353.640991,87.800995,-0.172793,0.160957,0.010496,0.971661,-4.094010,3.662110,0.278910
80,True,True,-1.000000,1.000000,1.000000,1.000000,31.189999,29.500000,195.940002,356.510986,353.640991,82.380997,-0.194858,0.180654,0.011850,0.963978,-4.092010,3.664310,0.278010
81,True,True,-1.000000,1.000000,1.000000,1.000000,34.160000,32.450001,196.580002,356.510986,353.640991,76.960999,-0.216734,0.200188,0.013193,0.955394,-4.090610,3.665910,0.277310
82,True,True,-1.000000,1.000000,1.000000,1.000000,37.130001,35.399998,197.179993,356.510986,353.640991,71.541000,-0.238400,0.219545,0.014526,0.945915,-4.089710,3.667110,0.276710
83,True,True,-1.000000,1.000000,1.000000,1.000000,40.099998,38.349998,197.729996,356.510986,353.640991,66.120995,-0.259839,0.238702,0.015842,0.935550,-4.089010,3.667910,0.276210
84,True,True,-1.000000,1.000000,1.000000,1.000000,43.070000,41.299999,198.239990,356.510986,353.640991,60.700996,-0.281029,0.257638,0.017142,0.924311,-4.088510,3.668410,0.275810
